at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4-10-1970,
VS,CAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4-11-1970,
AT,CAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4-18-1970,
AT,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4-22-1970,
VS,BAL,A,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000,.500,.000,9,p,4-25-1970,
VS,CLE,A,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.000,.400,.000,9,p,5- 2-1970,
AT,DET,A,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.000,.250,.000,9,p,5- 8-1970,
AT,CHI,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.200,.000,9,p,5-16-1970,
VS,MIN,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.167,.000,9,p,5-20-1970,
VS,CHI,A,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.143,.000,9,p,5-26-1970,
AT,WAS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.143,.000,9,p,5-29-1970,
AT,NY,A,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.125,.000,9,p,6- 2-1970,
AT,BOS,A,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.111,.000,9,p,6- 7-1970,2
VS,NY,A,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000,.150,.000,9,p,6-13-1970,
VS,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.150,.000,9,p,6-16-1970,
VS,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.150,.000,9,p,6-20-1970,
