at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,PHI,N,1,5,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.200,.200,.200,2,rf,8-15-1996,
VS,PIT,N,1,5,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,.300,.300,.800,2,rf,8-16-1996,
VS,PIT,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.300,.364,.800,9,cf,8-17-1996,
VS,PIT,N,1,7,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.294,.333,.647,2,rf,8-18-1996,
VS,CIN,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.238,.273,.524,2,rf,8-21-1996,
VS,CIN,N,1,6,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,.259,.286,.704,2,rf,8-22-1996,
VS,CHI,N,1,3,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.267,.313,.700,6,rf,8-23-1996,
VS,CHI,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.265,.306,.647,6,rf,8-25-1996,
AT,PIT,N,1,3,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.297,.350,.757,2,rf,8-27-1996,
AT,PIT,N,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.325,.372,.775,1,cf,8-28-1996,
AT,PIT,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.333,.689,1,cf,8-29-1996,
AT,CHI,N,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.260,.302,.620,1,"cf,rf",8-30-1996,2
AT,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.302,.620,1,cf,8-31-1996,
AT,CHI,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.245,.286,.585,2,rf,9- 1-1996,
AT,CIN,N,1,3,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,.268,.317,.643,2,rf,9- 4-1996,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.311,.632,9,rf,9- 6-1996,
VS,NY,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.292,.590,8,rf,9- 8-1996,
AT,COL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.242,.288,.581,9,rf,9-10-1996,
AT,COL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.284,.571,9,ph,9-12-1996,
AT,NY,N,1,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.224,.288,.537,7,rf,9-14-1996,
VS,HOU,N,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.235,.297,.559,9,ph,9-17-1996,
VS,HOU,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.222,.282,.528,6,rf,9-18-1996,
VS,MON,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.224,.280,.513,2,rf,9-20-1996,
VS,MON,N,1,5,1,4,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,.259,.310,.556,2,rf,9-22-1996,
VS,MON,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.297,.529,3,cf,9-23-1996,
AT,FLA,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.236,.284,.506,3,cf,9-24-1996,
AT,FLA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.233,.281,.500,9,"ph,cf",9-25-1996,
AT,FLA,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.223,.270,.479,6,"rf,cf",9-26-1996,
AT,MON,N,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.212,.257,.455,2,"rf,cf",9-27-1996,
AT,MON,N,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.216,.259,.451,9,"ph,cf",9-28-1996,
AT,MON,N,1,4,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,.217,.265,.443,1,cf,9-29-1996,
AT,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,6,ph,4- 1-1997,
AT,HOU,N,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.600,5,rf,4- 2-1997,
AT,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.600,5,rf,4- 3-1997,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.500,5,"ph,rf",4- 4-1997,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.429,7,"ph,rf",4- 5-1997,
VS,CHI,N,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.455,5,rf,4- 6-1997,
VS,HOU,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.200,.200,.333,5,rf,4- 8-1997,
VS,HOU,N,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.200,.250,.333,9,rf,4- 9-1997,
AT,CHI,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.250,.316,5,rf,4-12-1997,
AT,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.238,.300,5,"ph,rf",4-13-1997,
VS,CIN,N,1,4,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,.250,.333,.333,5,rf,4-14-1997,
VS,CIN,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,.250,.323,.321,5,rf,4-15-1997,
VS,CIN,N,1,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,.258,.343,.355,5,rf,4-16-1997,
AT,COL,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.333,.344,2,rf,4-18-1997,
AT,COL,N,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.273,.351,.455,5,lf,4-19-1997,
AT,COL,N,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,.270,.341,.432,5,rf,4-20-1997,
AT,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.341,.432,9,rf,4-22-1997,
AT,SF,N,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.250,.318,.400,5,rf,4-23-1997,
VS,SD,N,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.279,.354,.442,5,rf,4-25-1997,
VS,SD,N,1,5,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,.292,.358,.500,2,rf,4-26-1997,
VS,SD,N,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.286,.364,.490,5,rf,4-27-1997,
VS,LA,N,1,5,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,.278,.350,.463,2,"rf,cf",4-28-1997,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.344,.455,9,ph,4-29-1997,
AT,CIN,N,1,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,.254,.333,.424,5,rf,4-30-1997,
AT,CIN,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.254,.333,.424,5,"pr,rf",5- 1-1997,
VS,PIT,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.328,.417,9,ph,5- 2-1997,
VS,PIT,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.338,.417,5,"ph,lf",5- 4-1997,
AT,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.338,.417,5,"ph,rf",5- 5-1997,
AT,FLA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.333,.410,9,rf,5- 7-1997,
AT,FLA,N,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,.246,.329,.415,5,rf,5- 8-1997,
AT,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.329,.415,9,cf,5- 9-1997,
AT,PIT,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.242,.324,.409,9,rf,5-10-1997,
AT,PIT,N,1,4,1,3,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,.271,.354,.429,4,rf,5-11-1997,
AT,PIT,N,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.358,.444,5,rf,5-12-1997,
VS,FLA,N,1,4,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.289,.365,.447,5,rf,5-13-1997,
VS,FLA,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.278,.360,.430,5,rf,5-14-1997,
VS,STL,N,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.284,.363,.432,5,"ph,rf",5-16-1997,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.363,.432,1,cf,5-17-1997,
VS,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.359,.427,5,"ph,rf",5-18-1997,
VS,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.359,.427,5,rf,5-20-1997,
AT,LA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.355,.422,5,"ph,rf",5-23-1997,
AT,LA,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.276,.351,.414,2,rf,5-25-1997,
AT,SD,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.276,.357,.414,9,ph,5-26-1997,
AT,SD,N,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.276,.364,.414,5,"ph,rf",5-27-1997,
VS,SF,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.267,.359,.400,5,rf,5-29-1997,
VS,SF,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.267,.365,.400,9,ph,5-30-1997,
VS,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.362,.396,9,ph,5-31-1997,
VS,SF,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.349,.379,4,rf,6- 1-1997,
VS,SD,N,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.263,.354,.384,5,rf,6- 2-1997,
VS,SD,N,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.262,.350,.379,5,rf,6- 3-1997,
AT,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.350,.379,5,rf,6- 4-1997,
AT,MON,N,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.269,.356,.413,8,cf,6- 5-1997,
AT,SF,N,1,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.275,.358,.413,5,"cf,rf",6- 6-1997,
AT,SF,N,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.282,.363,.445,5,rf,6- 7-1997,
AT,SF,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.281,.359,.439,5,rf,6- 8-1997,
AT,COL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.278,.357,.435,9,"ph,rf",6- 9-1997,
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.357,.435,9,rf,6-10-1997,
VS,BAL,A,1,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.280,.361,.449,5,cf,6-13-1997,
VS,BAL,A,1,3,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,.273,.367,.438,2,cf,6-14-1997,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.270,.364,.434,5,"ph,rf",6-15-1997,
AT,TOR,A,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,.270,.361,.429,6,rf,6-16-1997,
AT,TOR,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.269,.358,.423,6,"rf,cf",6-17-1997,
AT,TOR,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,.269,.355,.418,2,cf,6-18-1997,
AT,PHI,N,1,2,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,.272,.365,.426,6,cf,6-20-1997,
AT,PHI,N,1,4,1,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,.279,.373,.450,5,cf,6-21-1997,
AT,PHI,N,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.280,.380,.448,6,cf,6-22-1997,
AT,NY,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.272,.371,.435,6,cf,6-23-1997,
AT,NY,N,1,4,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.278,.377,.444,6,cf,6-24-1997,
AT,NY,N,1,4,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,.284,.378,.445,6,cf,6-25-1997,
VS,PHI,N,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.280,.380,.439,5,cf,6-26-1997,
VS,PHI,N,1,3,1,1,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,.281,.378,.456,6,cf,6-27-1997,
VS,PHI,N,1,3,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,.276,.375,.448,6,cf,6-28-1997,
VS,PHI,N,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.271,.372,.440,6,cf,6-29-1997,
AT,NY,A,1,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.272,.375,.438,5,cf,6-30-1997,
AT,NY,A,1,4,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.277,.377,.451,6,cf,7- 1-1997,
AT,NY,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.271,.370,.441,6,cf,7- 2-1997,
AT,MON,N,1,6,1,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,.273,.369,.454,6,cf,7- 3-1997,
AT,MON,N,1,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,.278,.372,.460,5,cf,7- 4-1997,
AT,MON,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,.272,.365,.450,5,rf,7- 5-1997,
AT,MON,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,.272,.363,.446,5,cf,7- 6-1997,
VS,NY,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.271,.361,.442,6,cf,7-10-1997,
VS,NY,N,1,5,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.279,.366,.456,6,cf,7-11-1997,
VS,NY,N,1,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.280,.368,.459,6,cf,7-12-1997,
VS,NY,N,1,5,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.283,.369,.467,6,cf,7-13-1997,
VS,PHI,N,1,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.280,.373,.463,6,cf,7-14-1997,
VS,PHI,N,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.278,.373,.458,6,cf,7-15-1997,
VS,COL,N,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.279,.373,.457,6,cf,7-16-1997,
VS,COL,N,1,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,.284,.378,.459,6,cf,7-17-1997,
VS,LA,N,1,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,.284,.380,.471,5,cf,7-18-1997,
VS,LA,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.281,.376,.465,6,cf,7-19-1997,
VS,LA,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.280,.374,.461,6,cf,7-20-1997,
VS,LA,N,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.277,.375,.455,6,cf,7-21-1997,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.272,.369,.448,6,cf,7-22-1997,1
AT,CHI,N,1,4,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,.276,.371,.473,4,cf,7-22-1997,2
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.271,.366,.466,5,cf,7-23-1997,
AT,CIN,N,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,.271,.364,.474,5,cf,7-25-1997,
AT,CIN,N,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.265,.357,.463,5,cf,7-26-1997,
AT,CIN,N,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.261,.352,.456,6,cf,7-27-1997,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.257,.348,.449,6,rf,7-28-1997,
VS,CHI,N,1,4,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,.264,.353,.465,6,rf,7-29-1997,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.260,.348,.458,6,"rf,cf",7-30-1997,
AT,FLA,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.257,.347,.453,5,cf,7-31-1997,
AT,FLA,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.349,.455,5,cf,8- 1-1997,
AT,FLA,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.257,.348,.450,5,rf,8- 2-1997,
AT,PIT,N,1,3,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,.261,.355,.463,5,rf,8- 4-1997,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.258,.350,.456,6,rf,8- 5-1997,
VS,STL,N,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.256,.350,.453,6,rf,8- 6-1997,
