at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,NY,N,1,5,0,2,1,0,0,4,0,0,2,0,0,0,0,0,0,1,0,.400,.400,.600,5,rf,4- 8-1992,
VS,NY,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.375,5,rf,4- 9-1992,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.250,5,rf,4-10-1992,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.188,5,rf,4-11-1992,
AT,CHI,N,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.190,.190,.238,5,rf,4-12-1992,
AT,MON,N,1,4,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,.200,.200,.320,5,rf,4-13-1992,
AT,MON,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.172,.172,.276,5,rf,4-14-1992,
AT,MON,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.212,.303,5,rf,4-15-1992,
VS,CHI,N,1,4,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.270,.270,.432,5,rf,4-18-1992,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.244,.244,.390,5,rf,4-19-1992,
AT,NY,N,1,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.250,.267,.386,5,rf,4-21-1992,
AT,NY,N,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.265,.396,5,rf,4-22-1992,
AT,NY,N,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.245,.259,.377,5,rf,4-23-1992,
VS,MON,N,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.228,.241,.351,5,rf,4-24-1992,
VS,MON,N,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.203,.227,.313,5,rf,4-25-1992,
VS,MON,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.191,.214,.294,5,rf,4-26-1992,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.191,.214,.294,5,rf,4-27-1992,
AT,LA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.188,.211,.290,9,"ph,rf",4-28-1992,
AT,SF,N,1,5,1,2,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,.203,.224,.351,6,lf,4-29-1992,
