at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,MIN,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,6,c,5- 4-1976,
AT,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,c,5-11-1976,
AT,NY,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,.250,.400,.250,9,c,5-13-1976,
VS,CLE,A,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.333,9,c,5-14-1976,
VS,CLE,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.333,.400,.333,9,c,5-15-1976,
VS,CLE,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.333,.273,9,c,5-16-1976,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.214,.267,.214,9,c,5-17-1976,
VS,BOS,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.235,.188,9,c,5-18-1976,
AT,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.235,.188,5,"pr,c",5-22-1976,
AT,BAL,A,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.250,.211,8,c,5-23-1976,
AT,BOS,A,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.304,.273,8,c,5-25-1976,
VS,BAL,A,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.320,.346,.360,8,c,5-26-1976,1
VS,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.320,.346,.360,6,c,5-27-1976,
VS,NY,A,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.321,.345,.357,8,c,5-28-1976,
VS,MIL,A,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.323,.344,.387,8,c,5-31-1976,
VS,MIL,A,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,.323,.364,.387,8,"ph,c",6- 1-1976,1
VS,MIL,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,.294,.333,.353,8,c,6- 2-1976,
AT,TEX,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.297,.333,.351,8,c,6- 4-1976,
AT,TEX,A,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.286,.318,.333,8,c,6- 5-1976,
AT,KC,A,1,3,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.289,.333,.356,8,c,6- 7-1976,
AT,KC,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.292,.333,.354,8,c,6- 8-1976,
AT,KC,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.321,.340,8,c,6- 9-1976,
VS,CAL,A,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.283,.321,.340,9,c,6-11-1976,
VS,KC,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.321,.340,8,c,6-15-1976,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.305,.321,8,c,6-16-1976,
AT,MIN,A,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.254,.302,.305,9,c,6-20-1976,
AT,BOS,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.258,.313,.306,9,c,6-24-1976,
AT,BOS,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.246,.300,.292,9,c,6-27-1976,
VS,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.235,.288,.279,9,c,6-28-1976,
VS,BAL,A,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.289,.296,9,c,7- 3-1976,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.230,.278,.284,9,c,7- 4-1976,
VS,KC,A,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.284,.289,9,c,7- 9-1976,
VS,KC,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,.241,.286,.291,9,c,7-11-1976,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.232,.276,.280,9,c,7-16-1976,
VS,OAK,A,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.232,.292,.280,9,c,7-17-1976,
VS,OAK,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.235,.293,.282,9,c,7-18-1976,
AT,MIN,A,1,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.313,.315,9,c,7-20-1976,
AT,CHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.303,.304,9,c,7-21-1976,1
AT,CHI,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.245,.297,.298,9,c,7-22-1976,1
AT,CLE,A,1,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.258,.308,.309,9,c,7-24-1976,
VS,BAL,A,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.255,.305,.306,9,c,7-29-1976,
AT,NY,A,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250,.306,.300,8,c,8- 3-1976,
VS,CLE,A,1,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.262,.315,.320,9,c,8- 7-1976,
VS,TEX,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,.264,.316,.321,9,c,8-11-1976,
AT,KC,A,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.262,.325,.318,8,c,8-15-1976,
VS,CAL,A,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,.269,.342,.352,9,c,8-17-1976,
VS,CAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.266,.339,.349,8,c,8-18-1976,
VS,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.266,.339,.349,8,"pr,c",8-20-1976,2
VS,MIN,A,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.257,.328,.336,7,c,8-21-1976,
VS,CHI,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.252,.328,.330,8,c,8-25-1976,
AT,OAK,A,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.331,.342,8,c,8-29-1976,
VS,MIL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.328,.339,2,c,9- 3-1976,
VS,BAL,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.328,.339,4,"pr,dh",9- 6-1976,
VS,BAL,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.260,.333,.339,7,c,9- 7-1976,
AT,NY,A,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.322,.326,8,c,9-12-1976,1
VS,BOS,A,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.252,.322,.333,9,c,9-17-1976,
VS,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.322,.333,4,"pr,dh",9-18-1976,
VS,CLE,A,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.255,.325,.336,8,c,9-21-1976,
VS,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.323,.333,1,c,9-24-1976,2
AT,CLE,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.255,.321,.331,7,c,9-28-1976,1
AT,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.321,.331,7,"pr,c",9-29-1976,
AT,CLE,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.319,.329,7,c,9-30-1976,
AT,MIL,A,1,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.263,.329,.336,7,c,10- 2-1976,
AT,TOR,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,7,"pr,c",4-13-1977,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,"pr,c",4-26-1977,
AT,CAL,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,c,6- 6-1977,
AT,OAK,A,1,3,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,.000,.111,.000,9,c,6-11-1977,
VS,TOR,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.083,.000,9,c,6-16-1977,
VS,NY,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.000,.067,.000,9,c,6-20-1977,
VS,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.056,.000,9,c,6-25-1977,
