at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8,ss,,9- 8-1925,1
AT,BOS,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,8,ss,,9- 8-1925,2
AT,BOS,A,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,8,ss,,9- 9-1925,
AT,PHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.333,8,ss,,9-10-1925,1
AT,PHI,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.176,.176,.294,8,ss,,9-10-1925,2
AT,PHI,A,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.429,8,ss,,9-11-1925,
AT,PHI,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.240,.240,.360,8,ss,,9-12-1925,1
AT,PHI,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.214,.241,.321,8,ss,,9-12-1925,2
VS,BOS,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.188,.212,.281,8,ss,,9-13-1925,
AT,PHI,A,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.194,.216,.278,8,ss,,9-14-1925,
VS,CLE,A,1,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.225,.244,.300,2,ss,,9-16-1925,1
VS,CLE,A,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.205,.239,.273,2,ss,,9-16-1925,2
VS,CLE,A,1,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.208,.240,.292,2,ss,,9-17-1925,
VS,STL,A,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.212,.255,.288,2,ss,,9-18-1925,
VS,STL,A,1,5,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.283,.351,2,ss,,9-19-1925,1
VS,STL,A,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.277,.355,2,ss,,9-19-1925,2
VS,STL,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.261,.333,2,ss,,9-20-1925,
VS,CHI,A,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.211,.243,.310,2,ss,,9-22-1925,1
VS,CHI,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.213,.244,.307,2,ss,,9-22-1925,2
VS,CHI,A,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.203,.232,.291,2,ss,Date,9-23-1925,
VS,CHI,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.202,.230,.286,2,ss,,9-24-1925,
VS,DET,A,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.207,.233,.287,2,ss,,9-26-1925,
VS,DET,A,1,5,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.217,.242,.304,2,ss,,9-27-1925,1
VS,DET,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.213,.245,.298,2,ss,,9-27-1925,2
VS,DET,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.206,.245,.289,2,ss,,9-28-1925,1
VS,DET,A,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.208,.245,.287,2,ss,,9-28-1925,2
AT,PHI,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.210,.245,.286,2,ss,,10- 2-1925,
VS,PHI,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.209,.243,.282,2,ss,,10- 3-1925,
AT,BOS,A,1,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.200,.333,.200,1,ss,,4-13-1926,
AT,BOS,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.273,.200,1,ss,,4-14-1926,
AT,BOS,A,1,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.267,.313,.267,1,ss,,4-16-1926,
AT,WAS,A,1,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.316,.381,.316,1,ss,,4-17-1926,
AT,WAS,A,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.273,.385,.273,1,ss,,4-18-1926,
AT,WAS,A,1,7,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.310,.394,.310,1,ss,,4-20-1926,
VS,BOS,A,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.303,.378,.303,1,ss,,4-21-1926,
VS,BOS,A,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.349,.308,1,ss,,4-22-1926,
VS,BOS,A,1,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.302,.362,.395,1,ss,,4-23-1926,
VS,BOS,A,1,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.298,.353,.404,1,ss,,4-24-1926,
VS,PHI,A,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.288,.339,.423,1,ss,,4-25-1926,
VS,PHI,A,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.268,.317,.393,1,ss,,4-27-1926,
VS,PHI,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.267,.313,.383,1,ss,,4-28-1926,
VS,WAS,A,1,5,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,.262,.304,.400,1,ss,,4-29-1926,
VS,WAS,A,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.261,.311,.391,1,ss,,4-30-1926,
