at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,BAL,A,1,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.750,.750,.750,7,ss,7-23-1984,
VS,BAL,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.571,.571,.571,7,ss,7-24-1984,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.400,.400,.400,7,ss,7-25-1984,
AT,TOR,A,1,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,.385,.357,.538,7,ss,7-27-1984,
AT,TOR,A,1,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,.333,.316,.444,7,ss,7-28-1984,
AT,TOR,A,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.300,.318,.400,8,ss,7-29-1984,
AT,BAL,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.292,.308,.375,8,ss,7-30-1984,
AT,BAL,A,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.286,.300,.464,7,ss,7-31-1984,
AT,BAL,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.265,.406,7,ss,8- 1-1984,
AT,BOS,A,1,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.250,.263,.389,7,ss,8- 3-1984,
AT,BOS,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.256,.268,.385,7,ss,8- 4-1984,
AT,BOS,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.250,.357,7,ss,8- 5-1984,
VS,TOR,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.217,.229,.326,7,ss,8- 6-1984,
VS,TOR,A,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.220,.231,.320,7,ss,8- 7-1984,
VS,TOR,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.204,.214,.296,7,ss,8- 8-1984,
VS,BOS,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.204,.214,.296,7,ss,8- 9-1984,
VS,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.204,.214,.296,8,ss,8-11-1984,
VS,BOS,A,1,6,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.200,.210,.283,8,ss,8-12-1984,
AT,CHI,A,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.194,.203,.274,8,ss,8-13-1984,
