at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,SF,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,1,2b,6-30-1972,
AT,SF,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,1,2b,7- 1-1972,
AT,SF,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,ph,7- 2-1972,
AT,MON,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.214,.214,1,2b,7- 4-1972,
AT,MON,N,1,4,2,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,.278,.263,.278,1,2b,7- 5-1972,
AT,MON,N,1,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.261,.280,.261,1,2b,7- 6-1972,
AT,NY,N,1,5,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.286,.300,.286,1,2b,7- 7-1972,
AT,NY,N,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.313,.324,.313,1,2b,7- 8-1972,
AT,NY,N,1,5,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.351,.359,.351,1,2b,7- 9-1972,
AT,PHI,N,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.356,.333,1,2b,7-10-1972,1
AT,PHI,N,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.326,.347,.348,1,2b,7-10-1972,2
AT,PHI,N,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.360,.377,.380,1,2b,7-11-1972,
AT,PHI,N,1,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.364,.379,.382,1,2b,7-12-1972,
VS,MON,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.339,.355,.356,1,2b,7-14-1972,
VS,MON,N,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.349,.373,.365,1,2b,7-15-1972,
VS,MON,N,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.343,.366,.373,1,2b,7-16-1972,
VS,NY,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.319,.342,.347,1,2b,7-18-1972,
VS,NY,N,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.316,.346,.342,1,2b,7-19-1972,
VS,NY,N,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.313,.341,.338,1,2b,7-20-1972,
VS,PHI,N,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.310,.337,.345,1,2b,7-21-1972,
VS,PHI,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.292,.319,.326,1,2b,7-22-1972,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.306,.312,1,2b,7-23-1972,
AT,HOU,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.276,.301,.306,1,2b,7-27-1972,
AT,HOU,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.275,.299,.304,1,2b,7-28-1972,
AT,HOU,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.276,.306,.305,1,2b,7-29-1972,
AT,ATL,N,1,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.282,.310,.327,1,2b,7-30-1972,1
AT,ATL,N,1,4,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.289,.322,.351,1,2b,7-30-1972,2
AT,ATL,N,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.286,.317,.345,1,2b,7-31-1972,
VS,SF,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.323,.350,1,2b,8- 1-1972,
VS,SF,N,1,3,3,2,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,.302,.336,.373,1,2b,8- 2-1972,
VS,SF,N,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.292,.326,.362,1,2b,8- 3-1972,
VS,SD,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.286,.324,.353,1,2b,8- 4-1972,
VS,SD,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,.277,.315,.343,1,2b,8- 5-1972,
VS,SD,N,1,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.289,.325,.359,1,2b,8- 6-1972,
AT,CIN,N,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.273,.308,.340,1,2b,8- 8-1972,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.266,.301,.331,1,2b,8- 9-1972,
AT,CIN,N,1,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.270,.304,.333,1,2b,8-10-1972,
AT,SD,N,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.272,.312,.333,1,2b,8-11-1972,
AT,SD,N,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.269,.309,.335,1,2b,8-12-1972,
AT,SD,N,1,4,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,.275,.317,.339,1,2b,8-13-1972,
VS,PIT,N,1,4,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,.274,.316,.337,1,2b,8-15-1972,
VS,PIT,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.319,.341,1,2b,8-16-1972,
VS,PIT,N,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.276,.323,.337,1,2b,8-17-1972,
VS,CHI,N,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.274,.320,.333,1,2b,8-18-1972,
VS,CHI,N,1,4,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,.279,.324,.347,1,2b,8-19-1972,
VS,STL,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.278,.322,.345,1,2b,8-22-1972,
VS,STL,N,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.274,.321,.340,1,2b,8-23-1972,
AT,PIT,N,1,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.274,.323,.338,1,2b,8-25-1972,1
AT,PIT,N,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.270,.321,.333,1,2b,8-25-1972,2
AT,PIT,N,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.268,.319,.330,1,2b,8-26-1972,
AT,PIT,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.267,.317,.329,8,ph,8-27-1972,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.312,.322,1,2b,8-29-1972,
AT,CHI,N,1,6,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.264,.312,.323,1,2b,8-30-1972,
AT,CHI,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.315,.326,1,2b,8-31-1972,
AT,STL,N,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,.265,.318,.323,1,2b,9- 1-1972,1
AT,STL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.313,.317,1,2b,9- 1-1972,2
AT,STL,N,1,4,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,.265,.319,.321,1,2b,9- 2-1972,
AT,STL,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.261,.314,.315,1,2b,9- 3-1972,
VS,CIN,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,.260,.313,.314,1,2b,9- 4-1972,1
VS,CIN,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.312,.313,1,2b,9- 4-1972,2
AT,SD,N,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,1,2b,4- 6-1973,
AT,SD,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,1,2b,4- 7-1973,
AT,SD,N,1,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.286,.286,.286,1,2b,4- 8-1973,
AT,HOU,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.235,.278,.235,1,2b,4- 9-1973,
AT,HOU,N,1,7,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.250,.280,.250,1,2b,4-10-1973,
VS,CIN,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.276,.250,1,2b,4-11-1973,
