at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,DET,A,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.200,.000,5,lf,5- 8-2021,
AT,CHI,A,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,6,rf,5-11-2021,
AT,CHI,A,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.333,.286,1,ph,5-12-2021,
AT,CHI,A,1,4,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.182,.357,.364,5,lf,5-13-2021,
VS,OAK,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.278,.267,5,rf,5-14-2021,
VS,OAK,A,1,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.348,.350,5,rf,5-16-2021,
VS,CHI,A,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.429,2,lf,5-17-2021,
VS,CHI,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.292,.370,.417,6,lf,5-18-2021,
VS,CHI,A,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.269,.367,.385,6,lf,5-19-2021,
AT,ANA,A,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.241,.333,.345,7,rf,5-20-2021,1
AT,ANA,A,1,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.250,.351,.438,6,lf,5-20-2021,2
AT,CLE,A,1,3,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,.229,.357,.400,6,lf,5-21-2021,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.205,.326,.359,7,lf,5-22-2021,
AT,CLE,A,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.186,.314,.326,7,lf,5-23-2021,
VS,BAL,A,1,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.213,.327,.404,7,lf,5-24-2021,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.200,.322,.380,7,lf,5-25-2021,
VS,BAL,A,1,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.212,.339,.404,6,lf,5-26-2021,
VS,KC,A,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.226,.359,.415,1,"ph,lf",5-28-2021,
VS,KC,A,1,2,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,.236,.382,.473,7,lf,5-29-2021,
VS,KC,A,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,.228,.389,.456,6,lf,5-30-2021,
AT,BAL,A,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.237,.392,.475,4,"ph,rf",6- 1-2021,
AT,BAL,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.238,.385,.460,5,rf,6- 2-2021,
AT,KC,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.224,.366,.433,5,lf,6- 3-2021,
AT,KC,A,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.243,.384,.443,5,lf,6- 4-2021,
AT,KC,A,1,3,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,.247,.389,.438,4,lf,6- 6-2021,
VS,NY,A,1,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.260,.394,.442,6,lf,6- 8-2021,
VS,NY,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.259,.388,.432,3,lf,6- 9-2021,
VS,NY,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.262,.392,.429,5,lf,6-10-2021,
VS,HOU,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.377,.409,1,lf,6-11-2021,
VS,HOU,A,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.253,.382,.407,4,lf,6-12-2021,
VS,HOU,A,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.263,.386,.421,6,lf,6-13-2021,
