at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,ATL,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,6,3b,5- 6-2007,
AT,FLA,N,1,2,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,.333,.375,.500,8,3b,5- 7-2007,
AT,FLA,N,1,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,.375,.500,.500,8,3b,5- 8-2007,
AT,FLA,N,1,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.400,.588,.500,6,3b,5- 9-2007,
VS,CIN,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.308,.524,.385,8,3b,5-11-2007,
VS,CIN,N,1,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,.267,.520,.333,8,3b,5-12-2007,
VS,CIN,N,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.536,.389,9,3b,5-13-2007,
VS,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.316,.517,.368,9,ph,5-14-2007,
VS,STL,N,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.300,.545,.350,8,3b,5-15-2007,
VS,STL,N,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.261,.514,.304,8,3b,5-16-2007,
AT,ANA,A,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.259,.488,.333,9,3b,5-18-2007,
VS,MIL,N,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.233,.467,.300,7,3b,5-21-2007,
VS,MIL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.429,.265,7,3b,5-23-2007,
VS,CHI,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.206,.440,.265,9,ph,5-25-2007,
VS,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.440,.265,3,lf,5-26-2007,
VS,CHI,N,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.442,.257,7,3b,5-27-2007,
AT,WAS,N,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.216,.444,.270,7,3b,5-31-2007,
AT,PIT,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.436,.263,9,ph,6- 1-2007,
AT,SD,N,1,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,.200,.441,.250,8,3b,9- 2-2007,
AT,CHI,N,1,5,1,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,.200,.422,.267,8,3b,9- 3-2007,
AT,CHI,N,1,3,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.208,.418,.292,8,3b,9- 4-2007,
AT,CHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.196,.400,.275,7,3b,9- 6-2007,
VS,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.196,.400,.275,9,ph,9-14-2007,
VS,ARI,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.204,.397,.278,6,3b,9-16-2007,
AT,COL,N,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.193,.382,.263,7,3b,9-18-2007,1
AT,COL,N,1,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.213,.388,.328,8,3b,9-20-2007,
AT,ARI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.210,.383,.323,4,3b,9-21-2007,
AT,ARI,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.212,.376,.318,7,3b,9-22-2007,
AT,ARI,N,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.217,.382,.319,7,3b,9-23-2007,
VS,COL,N,1,5,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.230,.383,.324,7,3b,9-25-2007,
VS,COL,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.221,.378,.312,5,3b,9-26-2007,
VS,COL,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.222,.373,.309,6,3b,9-27-2007,
VS,SF,N,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.226,.377,.321,5,3b,9-28-2007,
VS,SF,N,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.236,.378,.326,7,3b,9-29-2007,
VS,SF,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.226,.365,.312,6,3b,9-30-2007,
AT,SD,N,1,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.500,.667,2.000,6,1b,6-11-2008,
AT,SD,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.500,1.333,9,ph,6-12-2008,
AT,DET,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.200,.429,.800,7,3b,6-13-2008,
AT,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.375,.667,2,"ph,2b",6-15-2008,
VS,CLE,A,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.182,.308,.455,5,3b,6-20-2008,
VS,CLE,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.214,.353,.429,7,3b,6-21-2008,
VS,CLE,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.389,.467,9,ph,6-22-2008,
VS,CHI,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.278,.381,.444,6,3b,6-24-2008,
VS,CHI,A,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.360,.455,5,"2b,3b",6-26-2008,
VS,ANA,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.231,.310,.385,6,3b,6-27-2008,
AT,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.300,.370,7,"ph,3b",6-30-2008,
AT,HOU,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.200,.294,.333,6,3b,7- 1-2008,
AT,SF,N,1,3,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,.212,.333,.424,8,3b,7- 4-2008,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.325,.412,9,ph,7- 5-2008,
AT,SF,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.189,.302,.378,7,2b,7- 6-2008,
VS,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.184,.295,.368,9,ph,7- 8-2008,
VS,FLA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.179,.289,.359,4,ph,7-10-2008,
VS,FLA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.175,.283,.350,9,ph,7-11-2008,
VS,FLA,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.195,.298,.366,9,ph,7-12-2008,
VS,FLA,N,1,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.182,.294,.341,7,3b,7-13-2008,
AT,ARI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.178,.288,.333,9,ph,7-18-2008,
AT,ARI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.174,.283,.326,9,ph,7-19-2008,
AT,ARI,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.191,.296,.340,9,ph,7-20-2008,
AT,COL,N,1,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.200,.322,.340,7,3b,7-21-2008,
AT,COL,N,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.212,.339,.346,8,3b,7-22-2008,
AT,COL,N,1,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.214,.333,.339,7,3b,7-23-2008,
VS,WAS,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.203,.319,.322,8,3b,7-25-2008,
AT,CHI,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,5,3b,8- 1-2008,
AT,CHI,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,5,3b,8- 2-2008,
AT,CHI,N,1,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.182,.250,.455,5,3b,8- 3-2008,
AT,ARI,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.125,.176,.313,5,3b,8- 4-2008,
AT,PHI,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.125,.222,.313,9,ph,8-10-2008,
