at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,KC,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,9,cf,7-21-2004,
VS,KC,A,1,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.571,.571,.714,9,cf,7-22-2004,
AT,CHI,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.444,.500,.556,9,cf,7-23-2004,
AT,CHI,A,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333,.385,.417,9,cf,7-24-2004,
AT,CHI,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.313,.353,.375,9,cf,7-25-2004,
AT,CLE,A,1,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.350,.409,.400,9,cf,7-26-2004,
AT,CLE,A,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.375,.423,.458,9,cf,7-27-2004,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.379,.407,9,cf,7-28-2004,
AT,OAK,A,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.367,.406,.467,9,cf,8-10-2004,
AT,OAK,A,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.382,.417,.471,9,cf,8-11-2004,
AT,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.382,.417,.471,5,cf,8-12-2004,
AT,ANA,A,1,3,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,.405,.439,.486,9,cf,8-13-2004,
AT,ANA,A,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,.395,.455,.474,9,cf,8-14-2004,
AT,ANA,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.390,.447,.463,9,cf,8-15-2004,
AT,CHI,A,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.370,.423,.435,9,cf,8-17-2004,
AT,CHI,A,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.354,.429,.417,9,cf,8-18-2004,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.347,.421,.408,5,"pr,cf",8-20-2004,
VS,SEA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.347,.421,.408,2,"pr,cf",8-21-2004,
VS,SEA,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.358,.426,.415,1,cf,8-22-2004,
VS,CHI,A,1,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.351,.415,.421,9,cf,8-23-2004,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.397,.400,9,cf,8-24-2004,
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.397,.400,5,cf,8-25-2004,
AT,BOS,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.317,.380,.381,9,cf,8-27-2004,
AT,BOS,A,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.392,.409,9,cf,8-29-2004,
AT,KC,A,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333,.390,.406,9,cf,8-30-2004,
AT,KC,A,1,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.329,.383,.397,9,cf,8-31-2004,
AT,KC,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.320,.373,.387,9,cf,9- 1-2004,
AT,TB,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,.329,.379,.392,9,cf,9- 3-2004,
VS,KC,A,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.321,.385,.383,9,cf,9- 6-2004,
VS,KC,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.318,.379,.376,9,cf,9- 7-2004,
VS,KC,A,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.300,.360,.356,1,cf,9- 9-2004,1
VS,MIN,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.293,.359,.348,9,cf,9-11-2004,
VS,MIN,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.292,.355,.344,1,cf,9-12-2004,
AT,CLE,A,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.287,.348,.337,9,cf,9-14-2004,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.279,.339,.327,9,cf,9-15-2004,
AT,CLE,A,1,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,.280,.339,.346,9,cf,9-16-2004,
AT,CHI,A,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.279,.341,.342,9,cf,9-18-2004,
AT,CHI,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.274,.336,.336,9,cf,9-19-2004,
VS,CLE,A,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.267,.328,.328,9,cf,9-20-2004,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.328,.328,3,pr,9-21-2004,
AT,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.328,.328,5,cf,9-24-2004,
AT,BAL,A,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.331,.331,9,cf,9-26-2004,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.264,.323,.322,9,cf,9-27-2004,
