at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,BAL,A,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,.333,.500,.333,6,3b,4-12-2008,
VS,BAL,A,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.500,.333,6,3b,4-13-2008,
VS,NY,A,1,3,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.444,.583,.889,5,3b,4-14-2008,
VS,NY,A,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.333,.500,.667,5,3b,4-15-2008,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.400,.500,5,3b,4-16-2008,
AT,MIN,A,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.300,.417,.500,5,3b,4-17-2008,
VS,CHI,A,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.304,.429,.522,5,3b,4-18-2008,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.259,.375,.444,5,3b,4-19-2008,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.233,.343,.400,5,3b,4-20-2008,
VS,TOR,A,1,3,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,.242,.359,.485,5,3b,4-22-2008,
VS,TOR,A,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,.243,.349,.459,5,3b,4-23-2008,
VS,TOR,A,1,2,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,.282,.383,.564,5,3b,4-24-2008,
VS,BOS,A,1,3,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,.286,.404,.548,5,3b,4-25-2008,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.267,.382,.511,5,3b,4-26-2008,
VS,BOS,A,1,3,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,.271,.379,.563,5,3b,4-27-2008,
AT,BAL,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.275,.387,.549,5,3b,4-29-2008,
