at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,1.000,-,9,ph,9-19-2010,
VS,STL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,.250,2,ss,9-20-2010,
VS,NY,N,1,3,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.286,.444,.429,2,ss,9-22-2010,
AT,MIL,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.286,.250,2,ss,9-23-2010,
AT,MIL,N,1,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.214,.389,.286,2,ss,9-24-2010,
AT,MIL,N,1,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.263,.391,.368,2,ss,9-25-2010,
AT,MIL,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.407,.391,2,ss,9-26-2010,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.292,.393,.375,9,ph,9-27-2010,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.379,.360,6,"ph,ss",9-28-2010,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.367,.346,9,ph,9-29-2010,
VS,PIT,N,1,5,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.290,.371,.387,2,ss,9-30-2010,
VS,PIT,N,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.286,.359,.400,2,ss,10- 1-2010,
VS,PIT,N,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.308,.372,.410,2,ss,10- 2-2010,
VS,PIT,N,1,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.326,.383,.465,2,ss,10- 3-2010,
VS,COL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-23-2011,
VS,COL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-24-2011,
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,6,"pr,3b",4-27-2011,
AT,CIN,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,9,ph,4-30-2011,
VS,WAS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,6,pr,5- 6-2011,
VS,WAS,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,ph,5- 7-2011,
VS,PHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,ph,5-10-2011,
VS,PHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,9,ph,5-11-2011,
AT,WAS,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.143,.143,9,ph,5-15-2011,
VS,TB,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.125,.125,.125,9,ph,5-21-2011,
VS,MIL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.111,.111,.111,9,ph,6- 4-2011,
VS,MIL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.100,.100,.100,9,ph,6- 5-2011,
VS,MIL,N,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.077,.077,.077,9,ss,6- 6-2011,
VS,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.077,.077,.077,5,"pr,ss",6- 7-2011,
VS,ATL,N,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.067,.067,.067,8,ss,6- 8-2011,
VS,ARI,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,8,ss,6-10-2011,
VS,ARI,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.158,.158,.158,9,ph,6-13-2011,
AT,PHI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.150,.150,.150,9,"ph,ss",6-14-2011,
AT,COL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,9,ph,8-15-2011,
AT,COL,N,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.130,.130,.130,1,ss,8-17-2011,
