at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,MIN,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,2,ss,4- 9-1963,
AT,MIN,A,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.250,.286,2,ss,4-10-1963,
VS,DET,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.182,.250,.273,2,ss,4-11-1963,
VS,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.188,.200,2,ss,4-13-1963,
VS,DET,A,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.300,.316,7,ss,4-14-1963,
VS,WAS,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.217,.250,.261,7,ss,4-16-1963,
AT,BAL,A,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,.231,.286,.269,7,ss,4-19-1963,
AT,BAL,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.200,.250,.233,2,ss,4-20-1963,
AT,BAL,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.182,.250,.212,2,ss,4-21-1963,1
AT,BAL,A,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.171,.237,.200,7,ss,4-21-1963,2
VS,BOS,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.154,.214,.179,2,ss,4-24-1963,
AT,NY,A,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.140,.196,.163,2,ss,4-27-1963,
AT,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.130,.184,.152,2,ss,4-28-1963,
AT,KC,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.122,.173,.143,8,ss,5- 1-1963,
AT,KC,A,1,5,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.130,.172,.148,7,ss,5- 2-1963,
AT,LA,A,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.155,.194,.190,7,ss,5- 3-1963,
AT,LA,A,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,.161,.197,.210,7,ss,5- 4-1963,
AT,LA,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.152,.186,.197,7,ss,5- 5-1963,
AT,WAS,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.176,.186,7,ss,5- 7-1963,
AT,WAS,A,1,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,.149,.179,.189,7,ss,5- 8-1963,
AT,WAS,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.156,.185,.195,8,ss,5- 9-1963,
