at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8,pr,9-10-2004,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,7,"ph,3b",9-11-2004,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,"ph,3b",9-12-2004,
AT,SEA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,4,pr,9-16-2004,
VS,SEA,A,1,3,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.600,.667,.800,8,3b,9-20-2004,
VS,SEA,A,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,.333,.400,.444,8,3b,9-21-2004,
VS,SEA,A,1,4,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,.308,.357,.615,9,3b,9-22-2004,
VS,OAK,A,1,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.353,.389,.765,7,3b,9-24-2004,
VS,OAK,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.316,.381,.684,7,3b,9-25-2004,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.333,.591,9,3b,9-26-2004,
AT,TEX,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.308,.542,9,3b,9-27-2004,
AT,TEX,A,1,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.286,.333,.643,7,3b,9-28-2004,
AT,TEX,A,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.273,.314,.576,7,3b,9-29-2004,
AT,TEX,A,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.250,.308,.528,8,3b,9-30-2004,
AT,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.308,.528,3,3b,10- 1-2004,
AT,OAK,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.225,.279,.475,4,3b,10- 3-2004,
VS,SEA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.000,.000,.000,7,3b,4-18-2005,
VS,CLE,A,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,.000,7,3b,4-20-2005,
VS,CLE,A,1,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.100,.100,.100,7,3b,4-21-2005,
VS,OAK,A,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.154,.154,.231,7,3b,4-22-2005,
VS,OAK,A,1,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.188,.235,.250,7,3b,4-23-2005,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.158,.200,.211,7,3b,4-24-2005,
AT,NY,A,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.182,.250,.273,7,3b,4-26-2005,
AT,NY,A,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.192,.250,.308,7,3b,4-27-2005,
AT,NY,A,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.281,.367,7,3b,4-28-2005,
AT,MIN,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.278,.353,7,3b,4-29-2005,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.211,.250,.316,7,3b,4-30-2005,
AT,MIN,A,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.238,.300,7,3b,5- 1-2005,
AT,SEA,A,1,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.209,.261,.326,7,3b,5- 2-2005,
AT,SEA,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.191,.240,.298,7,3b,5- 3-2005,
AT,SEA,A,1,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,.196,.255,.294,7,3b,5- 4-2005,
VS,DET,A,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.204,.259,.352,7,3b,5- 7-2005,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.254,.345,1,3b,5- 8-2005,
VS,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.190,.242,.328,7,3b,5- 9-2005,
VS,CLE,A,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.210,.258,.339,7,3b,5-11-2005,
AT,DET,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.212,.257,.333,7,3b,5-14-2005,1
AT,DET,A,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.214,.257,.329,7,3b,5-14-2005,2
AT,DET,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.214,.267,.329,2,3b,5-15-2005,
AT,CLE,A,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.227,.275,.333,7,3b,5-17-2005,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.218,.265,.321,7,3b,5-18-2005,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.218,.265,.321,2,3b,5-20-2005,
AT,LA,N,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.215,.271,.316,9,3b,5-21-2005,
AT,LA,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.217,.270,.313,6,3b,5-22-2005,
VS,CHI,A,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.221,.280,.314,7,3b,5-23-2005,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.211,.268,.300,8,3b,5-24-2005,
VS,CHI,A,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.215,.270,.323,6,3b,5-25-2005,
VS,CHI,A,1,3,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,.219,.272,.354,7,3b,5-26-2005,
VS,KC,A,1,5,2,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,.228,.278,.386,7,3b,5-27-2005,
VS,KC,A,1,3,1,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,.240,.301,.433,5,3b,5-28-2005,
VS,KC,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.241,.299,.426,5,3b,5-29-2005,
AT,CHI,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.241,.298,.420,8,3b,5-30-2005,
AT,CHI,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.296,.414,5,3b,5-31-2005,
AT,CHI,A,1,4,3,2,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,.250,.308,.450,5,3b,6- 1-2005,
AT,BOS,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.242,.299,.435,6,3b,6- 3-2005,
AT,BOS,A,1,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.240,.300,.426,5,3b,6- 4-2005,
AT,BOS,A,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.242,.301,.432,5,3b,6- 5-2005,
AT,ATL,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.243,.299,.426,5,3b,6- 6-2005,
AT,ATL,N,1,5,2,3,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,.255,.309,.454,5,3b,6- 8-2005,
AT,NY,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.248,.301,.441,6,3b,6-10-2005,
AT,NY,N,1,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.255,.306,.450,5,3b,6-11-2005,
AT,NY,N,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.248,.299,.438,5,3b,6-12-2005,
VS,WAS,N,1,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.255,.304,.459,7,3b,6-13-2005,
VS,WAS,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.248,.297,.447,7,3b,6-14-2005,
