at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,N,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,.000,.250,.000,9,ss,6-28-2013,
VS,CHI,N,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.000,.111,.000,2,"2b,ss",6-29-2013,
VS,CHI,N,1,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.182,.308,.364,8,ss,6-30-2013,
AT,TEX,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.294,.333,9,ss,7- 2-2013,
AT,TEX,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.158,.238,.263,9,ss,7- 3-2013,
AT,TEX,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.273,.300,9,"ph,ss",7- 4-2013,
AT,CIN,N,1,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.308,.500,1,ss,7- 5-2013,
AT,CIN,N,1,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.231,.355,.462,1,2b,7- 6-2013,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.200,.314,.400,1,ss,7- 7-2013,
VS,BOS,A,1,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.229,.325,.400,1,ss,7- 8-2013,
VS,BOS,A,1,5,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,.275,.356,.475,1,ss,7- 9-2013,
VS,BOS,A,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.273,.360,.455,1,"ss,2b",7-10-2013,
VS,BOS,A,1,5,2,2,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,.286,.375,.469,1,2b,7-11-2013,
VS,ANA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.264,.350,.434,1,2b,7-12-2013,
VS,ANA,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.246,.328,.404,1,ss,7-13-2013,
VS,ANA,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.324,.393,1,ss,7-14-2013,
AT,HOU,A,1,5,2,3,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,.273,.351,.500,1,ss,7-19-2013,
AT,HOU,A,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.261,.346,.478,1,ss,7-20-2013,
AT,HOU,A,1,5,1,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,.270,.357,.473,1,"ss,3b",7-21-2013,
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.341,.449,1,ss,7-22-2013,
VS,CLE,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.247,.337,.432,1,ss,7-23-2013,
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.323,.412,1,"ss,3b",7-24-2013,
VS,MIN,A,1,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.233,.317,.411,1,ss,7-25-2013,
VS,MIN,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.311,.402,8,"ph,ss",7-26-2013,
VS,MIN,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.318,.406,1,ss,7-27-2013,
VS,MIN,A,1,3,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.253,.333,.414,1,ss,7-28-2013,
AT,BOS,A,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.240,.319,.394,1,ss,7-30-2013,
AT,BOS,A,1,5,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.248,.333,.394,1,ss,7-31-2013,
AT,BOS,A,1,4,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,.248,.336,.407,1,ss,8- 1-2013,
AT,BAL,A,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.237,.323,.390,1,ss,8- 2-2013,
AT,BAL,A,1,6,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.250,.331,.403,1,ss,8- 3-2013,
AT,BAL,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.242,.322,.391,1,2b,8- 4-2013,
VS,TOR,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.244,.327,.389,1,ss,8- 5-2013,
VS,TOR,A,1,4,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,.252,.331,.407,1,ss,8- 6-2013,
VS,TOR,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.333,.407,1,ss,8- 7-2013,
VS,MIL,N,1,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.342,.421,1,ss,8- 9-2013,
VS,MIL,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.262,.333,.409,1,ss,8-10-2013,
VS,MIL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.257,.327,.401,1,2b,8-11-2013,
AT,TB,A,1,5,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,.261,.329,.439,1,ss,8-13-2013,
AT,TB,A,1,4,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,.261,.328,.447,1,ss,8-14-2013,
AT,TB,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.256,.326,.439,1,ss,8-15-2013,
AT,TEX,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.319,.429,1,ss,8-16-2013,
AT,TEX,A,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.323,.436,1,2b,8-17-2013,
AT,TEX,A,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.249,.314,.424,1,ss,8-18-2013,
AT,OAK,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.249,.313,.420,1,ss,8-19-2013,
AT,OAK,A,1,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.253,.315,.419,1,"ss,2b",8-20-2013,
AT,OAK,A,1,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.251,.313,.429,1,2b,8-21-2013,
VS,ANA,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.316,.431,1,ss,8-23-2013,
VS,ANA,A,1,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.260,.318,.430,1,"2b,ss",8-24-2013,
VS,ANA,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.317,.426,1,ss,8-25-2013,
VS,TEX,A,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,.264,.320,.428,2,ss,8-26-2013,
VS,TEX,A,1,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.259,.317,.420,1,"2b,ss",8-27-2013,
VS,TEX,A,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.264,.323,.421,1,"ss,3b",8-28-2013,
AT,HOU,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.322,.418,1,ss,8-29-2013,
AT,HOU,A,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.267,.324,.418,1,ss,8-30-2013,
AT,HOU,A,1,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,.269,.331,.419,1,ss,8-31-2013,
AT,HOU,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.329,.416,1,ss,9- 1-2013,
AT,KC,A,1,5,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,.271,.331,.424,1,ss,9- 2-2013,
AT,KC,A,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.266,.324,.415,1,"2b,ss",9- 3-2013,
AT,KC,A,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.261,.318,.408,1,ss,9- 4-2013,
AT,KC,A,1,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.256,.311,.400,1,ss,9- 5-2013,
VS,TB,A,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.314,.406,1,ss,9- 6-2013,
VS,TB,A,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.256,.310,.399,1,ss,9- 7-2013,
VS,TB,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.312,.401,1,ss,9- 8-2013,
VS,HOU,A,1,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.262,.314,.412,1,ss,9- 9-2013,
VS,HOU,A,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.259,.315,.407,1,ss,9-10-2013,
VS,HOU,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.263,.318,.409,1,ss,9-11-2013,
AT,STL,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.258,.313,.401,1,ss,9-13-2013,
AT,STL,N,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.260,.314,.402,1,ss,9-14-2013,
AT,ANA,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.316,.404,9,ph,9-21-2013,
VS,KC,A,1,4,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.259,.316,.399,1,ss,9-23-2013,
VS,KC,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.259,.315,.397,1,ss,9-24-2013,
VS,KC,A,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.262,.318,.401,1,ss,9-25-2013,
VS,OAK,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.258,.314,.396,1,ss,9-27-2013,
VS,OAK,A,1,4,2,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,.262,.316,.417,1,ss,9-28-2013,
VS,OAK,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.265,.318,.418,1,ss,9-29-2013,
