at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CHI,A,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.000,.333,.000,7,"ph,lf",7- 5-1967,
AT,CHI,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,5,lf,7- 6-1967,
VS,NY,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.300,.364,.300,5,lf,7- 7-1967,
VS,NY,A,1,2,2,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,.333,.438,.333,5,lf,7- 8-1967,1
VS,NY,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.267,.400,.267,6,lf,7- 8-1967,2
VS,NY,A,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.278,.391,.278,6,lf,7- 9-1967,
AT,BOS,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.286,.407,.286,6,lf,7-13-1967,1
AT,BOS,A,1,5,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.308,.406,.462,6,lf,7-13-1967,2
AT,BOS,A,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.286,.417,.429,6,lf,7-14-1967,
AT,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.405,.414,9,ph,7-15-1967,
AT,NY,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.267,.395,.400,9,ph,7-16-1967,
VS,BOS,A,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.281,.400,.500,9,"ph,lf",7-18-1967,
VS,BOS,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.364,.444,6,lf,7-19-1967,
VS,WAS,A,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,.231,.333,.410,5,lf,7-21-1967,1
VS,WAS,A,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.231,.327,.410,5,"ph,lf",7-21-1967,2
VS,WAS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.225,.320,.400,9,ph,7-22-1967,
AT,WAS,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.333,.415,8,ph,7-23-1967,
AT,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.327,.405,9,ph,9-12-1967,
AT,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.321,.395,9,ph,9-13-1967,
VS,NY,A,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.234,.316,.404,6,lf,9-19-1967,
AT,WAS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.229,.310,.396,9,ph,9-20-1967,2
AT,WAS,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.224,.305,.388,9,ph,9-21-1967,
VS,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.220,.300,.380,9,ph,9-24-1967,
VS,WAS,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.222,.297,.370,6,lf,9-25-1967,
VS,WAS,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.284,.351,5,lf,9-26-1967,
AT,CLE,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.213,.282,.344,5,lf,9-30-1967,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.200,.267,.323,4,lf,10- 1-1967,
VS,CAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-14-1968,
VS,MIN,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-15-1968,
AT,OAK,A,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,9,ph,4-18-1968,
AT,CAL,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.167,.286,.333,3,lf,4-19-1968,
AT,CAL,A,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.200,.333,.300,2,lf,4-21-1968,
AT,MIN,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.154,.313,.231,3,lf,4-22-1968,
AT,MIN,A,1,4,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.235,.381,.471,2,lf,4-24-1968,
VS,BOS,A,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250,.375,.450,3,lf,4-26-1968,
VS,BOS,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.357,.417,2,lf,4-27-1968,
VS,BOS,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.344,.393,2,lf,4-28-1968,1
VS,BOS,A,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.233,.361,.367,2,lf,4-28-1968,2
VS,NY,A,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.212,.366,.333,2,lf,4-30-1968,
VS,NY,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.370,.342,2,lf,5- 1-1968,
VS,NY,A,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.238,.373,.333,3,lf,5- 2-1968,
AT,WAS,A,1,4,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,.217,.345,.304,2,lf,5- 3-1968,
AT,WAS,A,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.204,.350,.286,2,lf,5- 4-1968,
AT,WAS,A,1,5,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,.204,.338,.333,3,lf,5- 5-1968,
VS,DET,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.193,.333,.316,2,lf,5- 6-1968,
VS,DET,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.342,.317,3,lf,5- 7-1968,
VS,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.325,.297,2,lf,5- 8-1968,
VS,CLE,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.194,.333,.299,2,lf,5-10-1968,
VS,CLE,A,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.341,.310,3,lf,5-11-1968,
VS,CLE,A,1,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.216,.348,.311,2,lf,5-12-1968,2
AT,DET,A,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,.227,.356,.360,7,ph,5-15-1968,
AT,CLE,A,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,.237,.363,.408,7,ph,5-17-1968,
