at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,BOS,A,1,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333,.333,.667,7,2b,4-24-2015,
VS,BOS,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.143,.143,.286,7,2b,4-25-2015,
VS,BOS,A,1,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,9,2b,4-26-2015,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.375,9,2b,4-29-2015,
AT,TB,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.375,4,2b,5- 2-2015,
AT,TB,A,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.278,.278,.389,5,"ph,2b",5- 3-2015,
AT,NY,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.316,.316,.421,1,ph,5- 6-2015,
VS,TOR,A,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.304,.304,.522,9,2b,5-13-2015,
VS,ANA,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.269,.462,8,2b,5-15-2015,
VS,SEA,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.276,.448,9,2b,5-20-2015,
