at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,LA,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,7,c,6-21-2012,
VS,SF,N,1,5,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.250,.250,.250,7,c,6-23-2012,
VS,SF,N,1,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.500,8,c,6-24-2012,
AT,SEA,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.250,.250,.438,8,c,6-26-2012,
AT,TEX,A,1,3,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,.316,.350,.632,8,c,6-28-2012,
AT,TEX,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.348,.375,.609,6,dh,6-29-2012,
AT,TEX,A,1,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.333,.357,.556,6,c,7- 1-2012,
VS,BOS,A,1,3,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,.333,.375,.533,6,c,7- 2-2012,
VS,BOS,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.294,.333,.471,7,c,7- 4-2012,
VS,SEA,A,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.270,.325,.432,7,c,7- 6-2012,
VS,SEA,A,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.244,.311,.390,7,c,7- 8-2012,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,.222,.286,.356,7,c,7-13-2012,
AT,MIN,A,1,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.204,.278,.327,7,c,7-15-2012,
VS,TEX,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.189,.259,.302,7,c,7-18-2012,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.175,.242,.281,8,c,7-19-2012,
VS,NY,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.169,.246,.271,9,c,7-21-2012,
VS,NY,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.183,.258,.283,9,c,7-22-2012,
AT,TOR,A,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.188,.257,.328,7,c,7-24-2012,
AT,TOR,A,1,4,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.206,.280,.353,7,c,7-25-2012,
AT,BAL,A,1,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.205,.275,.342,7,c,7-27-2012,
AT,BAL,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.195,.262,.325,7,c,7-29-2012,
VS,TOR,A,1,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,.193,.256,.313,7,c,8- 3-2012,
VS,TOR,A,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.198,.266,.326,7,dh,8- 4-2012,
VS,TOR,A,1,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,.200,.265,.333,7,c,8- 5-2012,
VS,ANA,A,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.204,.267,.333,8,c,8- 6-2012,
VS,ANA,A,1,5,2,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,.204,.264,.357,7,c,8- 7-2012,
AT,CHI,A,1,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.206,.264,.363,8,c,8-10-2012,
AT,CHI,A,1,3,0,1,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,.210,.278,.371,7,c,8-11-2012,
AT,CHI,A,1,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,.211,.277,.394,6,c,8-12-2012,
AT,KC,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.204,.268,.381,5,c,8-15-2012,
AT,KC,A,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.200,.270,.374,8,c,8-16-2012,
VS,CLE,A,1,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.202,.269,.370,8,c,8-17-2012,
VS,CLE,A,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,.197,.269,.361,7,c,8-19-2012,
VS,MIN,A,1,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.208,.283,.368,7,c,8-20-2012,
VS,MIN,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.209,.282,.364,8,c,8-21-2012,
AT,TB,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.205,.276,.356,8,c,8-23-2012,
AT,TB,A,1,3,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,.207,.282,.363,7,c,8-24-2012,
AT,TB,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.206,.280,.360,8,"ph,c",8-25-2012,
AT,CLE,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.201,.279,.353,8,c,8-27-2012,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.196,.272,.343,8,c,8-28-2012,
AT,CLE,A,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.197,.272,.347,8,c,8-29-2012,
VS,BOS,A,1,4,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,.205,.277,.351,7,c,9- 1-2012,
VS,BOS,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.201,.276,.344,8,c,9- 2-2012,
VS,ANA,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.196,.270,.335,7,c,9- 3-2012,
VS,ANA,A,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.201,.287,.340,8,c,9- 5-2012,
AT,SEA,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.196,.280,.331,7,c,9- 9-2012,
AT,ANA,A,1,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.198,.280,.335,8,c,9-12-2012,
VS,BAL,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.280,.335,7,c,9-14-2012,
VS,BAL,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.195,.275,.328,7,c,9-15-2012,
AT,DET,A,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.192,.274,.322,8,c,9-19-2012,
AT,NY,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.189,.274,.317,7,c,9-21-2012,
AT,NY,A,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.185,.268,.310,8,"ph,c",9-22-2012,
AT,TEX,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.186,.268,.309,8,c,9-24-2012,
AT,TEX,A,1,4,0,2,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,.193,.271,.323,8,c,9-26-2012,
AT,TEX,A,1,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.195,.272,.338,8,c,9-27-2012,
VS,SEA,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.191,.267,.332,8,c,9-29-2012,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.190,.266,.330,8,"ph,c",9-30-2012,
VS,TEX,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.192,.270,.330,8,c,10- 1-2012,
VS,TEX,A,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,.194,.271,.330,8,c,10- 2-2012,
VS,TEX,A,0,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.201,.276,.349,8,"ph,c",10- 3-2012,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2,"ph,c",4- 1-2013,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2,ph,4- 2-2013,
VS,SEA,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.200,.333,.200,6,c,4- 3-2013,
AT,HOU,A,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.333,.400,.333,8,c,4- 6-2013,
AT,ANA,A,1,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.333,.385,.333,5,c,4- 9-2013,
AT,ANA,A,1,3,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.400,.500,.467,6,c,4-11-2013,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.474,.438,4,ph,4-12-2013,
VS,DET,A,1,3,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.421,.522,.526,8,c,4-13-2013,
VS,DET,A,1,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.429,.500,.571,8,c,4-14-2013,
VS,HOU,A,1,3,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.417,.516,.583,2,c,4-15-2013,
VS,HOU,A,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.385,.514,.538,7,c,4-17-2013,
AT,TB,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.357,.500,.500,6,c,4-20-2013,
AT,BOS,A,1,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,.323,.476,.452,5,c,4-22-2013,
AT,BOS,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.294,.457,.412,2,c,4-24-2013,
VS,BAL,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.278,.449,.389,6,c,4-26-2013,
VS,BAL,A,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.451,.395,2,"ph,c",4-28-2013,
VS,ANA,A,0,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.256,.421,.349,7,"ph,c",4-29-2013,
VS,ANA,A,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.283,.443,.370,8,c,4-30-2013,
VS,ANA,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.260,.415,.340,2,c,5- 1-2013,
AT,NY,A,1,3,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,.264,.420,.340,6,c,5- 3-2013,
AT,NY,A,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.246,.405,.316,2,c,5- 5-2013,
AT,CLE,A,1,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.246,.397,.328,8,c,5- 6-2013,
AT,CLE,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.395,.328,7,c,5- 7-2013,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.235,.376,.309,6,c,5- 9-2013,
AT,SEA,A,1,3,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,.239,.375,.352,8,c,5-10-2013,
AT,SEA,A,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.230,.370,.338,8,c,5-11-2013,
AT,SEA,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.234,.375,.338,6,c,5-12-2013,
VS,TEX,A,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.238,.380,.350,8,c,5-13-2013,
VS,TEX,A,1,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.226,.371,.333,5,c,5-14-2013,
VS,TEX,A,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.224,.364,.329,2,c,5-15-2013,
VS,KC,A,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.218,.364,.322,7,c,5-17-2013,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.354,.311,8,c,5-18-2013,
VS,KC,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.215,.353,.312,8,c,5-19-2013,
AT,TEX,A,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.204,.339,.296,8,c,5-20-2013,
AT,TEX,A,1,4,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.216,.344,.324,7,c,5-22-2013,
AT,HOU,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.210,.341,.314,5,c,5-24-2013,
AT,HOU,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.338,.312,8,c,5-26-2013,
VS,SF,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.212,.336,.310,8,c,5-27-2013,
VS,SF,N,1,3,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,.216,.340,.336,7,c,5-28-2013,
AT,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.216,.340,.336,9,c,5-29-2013,
AT,SF,N,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.210,.338,.328,7,c,5-30-2013,
VS,CHI,A,1,4,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,.211,.340,.333,7,c,6- 1-2013,
VS,CHI,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.214,.340,.333,8,c,6- 2-2013,
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.331,.323,8,c,6- 6-2013,
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.201,.323,.313,8,c,6- 7-2013,
AT,CHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.197,.317,.307,8,c,6- 8-2013,
AT,CHI,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.313,.302,8,c,6- 9-2013,
VS,NY,A,1,3,1,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,.204,.320,.338,8,c,6-11-2013,
VS,NY,A,1,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.195,.307,.322,9,c,6-13-2013,
VS,SEA,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,.197,.311,.322,6,c,6-14-2013,
VS,SEA,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.197,.315,.322,2,ph,6-15-2013,
AT,TEX,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.195,.311,.318,2,"ph,c",6-17-2013,
AT,TEX,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.192,.308,.314,8,c,6-19-2013,
AT,SEA,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,.189,.303,.308,8,c,6-21-2013,
