at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8,c,5-17-2003,
VS,ATL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,8,c,5-18-2003,
AT,MIL,N,1,4,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.375,8,c,5-19-2003,
AT,MIL,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.300,9,c,5-20-2003,
AT,MIL,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.154,.231,7,c,5-21-2003,
AT,ARI,N,1,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.176,.176,.235,8,c,5-25-2003,
VS,ARI,N,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.158,.158,.211,8,c,5-30-2003,
VS,ARI,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.130,.130,.174,8,c,6- 1-2003,
VS,MIN,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.208,2,ph,6- 6-2003,
VS,MIN,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.154,.192,8,c,6- 7-2003,
AT,CHI,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.138,.138,.172,8,c,6-15-2003,
VS,SEA,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.156,.156,.188,7,c,6-20-2003,
VS,COL,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.171,7,c,6-24-2003,
VS,COL,N,1,4,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,.205,.205,.308,7,c,6-25-2003,
AT,SEA,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.190,.190,.286,8,c,6-27-2003,
AT,SEA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.190,.286,8,c,6-29-2003,
AT,LA,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.174,.174,.261,7,c,7- 2-2003,
VS,SF,N,1,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,.200,.200,.340,7,c,7- 5-2003,
VS,SF,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.189,.204,.321,7,c,7- 6-2003,
VS,LA,N,1,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,.214,.241,.339,8,c,7- 7-2003,
VS,LA,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.214,.254,.339,7,ph,7- 8-2003,
AT,ARI,N,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.228,.267,.351,6,ph,7- 9-2003,
AT,ARI,N,1,4,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,.213,.262,.328,8,c,7-10-2003,
AT,STL,N,1,3,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.219,.275,.344,8,c,7-12-2003,
AT,STL,N,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.239,.292,.358,8,c,7-13-2003,
VS,ARI,N,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.232,.303,.348,8,c,7-17-2003,
VS,ARI,N,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.236,.313,.347,6,c,7-20-2003,
VS,STL,N,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.247,.321,.397,7,c,7-21-2003,
VS,STL,N,1,3,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,.250,.329,.395,8,c,7-23-2003,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.247,.326,.390,8,c,7-25-2003,
AT,SF,N,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.253,.337,.392,8,c,7-26-2003,
AT,PIT,N,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.244,.333,.378,8,c,7-29-2003,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.320,.360,8,c,7-30-2003,
AT,PIT,N,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.327,.379,1,ph,7-31-2003,
AT,PHI,N,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.337,.389,8,c,8- 1-2003,
AT,PHI,N,1,3,1,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,.280,.362,.441,8,c,8- 2-2003,2
AT,PHI,N,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.281,.373,.438,8,c,8- 3-2003,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.369,.433,9,ph,8- 5-2003,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.357,.416,8,c,8- 6-2003,
VS,CHI,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.260,.353,.404,8,c,8- 7-2003,
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.350,.400,9,ph,8- 8-2003,
VS,CIN,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.257,.347,.394,7,c,8- 9-2003,
