at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,A,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.500,1.000,8,lf,4- 9-2015,
AT,ANA,A,1,5,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,.375,.444,1.125,8,lf,4-12-2015,
AT,MIN,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.385,.833,7,lf,4-16-2015,
VS,OAK,A,1,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,.313,.353,.813,8,rf,4-17-2015,
VS,OAK,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.300,.333,.700,1,rf,4-18-2015,
VS,OAK,A,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.261,.320,.609,1,rf,4-19-2015,
VS,MIN,A,1,3,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,.269,.345,.654,7,rf,4-20-2015,
VS,MIN,A,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.276,.364,.621,8,rf,4-21-2015,
VS,MIN,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.242,.324,.545,8,rf,4-22-2015,
AT,CHI,A,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.237,.310,.500,8,rf,4-23-2015,
AT,CHI,A,1,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,.293,.356,.561,8,rf,4-24-2015,
AT,CHI,A,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.289,.347,.533,8,rf,4-26-2015,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.265,.321,.490,9,rf,4-29-2015,
VS,DET,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.264,.316,.472,8,rf,5- 1-2015,
VS,DET,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.300,.446,8,rf,5- 2-2015,
VS,DET,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.297,.433,7,rf,5- 3-2015,
VS,CLE,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.299,.429,7,rf,5- 5-2015,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.299,.429,1,lf,5- 6-2015,
AT,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.282,.403,8,rf,5- 8-2015,
AT,TEX,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.229,.270,.386,9,rf,5-13-2015,
AT,TEX,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.230,.269,.378,7,rf,5-14-2015,
VS,NY,A,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.228,.265,.367,9,rf,5-15-2015,
VS,NY,A,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.279,.378,9,rf,5-16-2015,
VS,NY,A,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.244,.278,.384,8,rf,5-17-2015,
VS,CIN,N,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.290,.393,9,rf,5-19-2015,
VS,CIN,N,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.292,.385,9,rf,5-20-2015,
VS,STL,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.266,.303,.394,9,rf,5-22-2015,
VS,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.258,.294,.381,9,rf,5-24-2015,
AT,NY,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.248,.283,.366,8,"rf,lf",5-25-2015,
AT,NY,A,1,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.250,.284,.394,9,rf,5-26-2015,
AT,NY,A,1,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.283,.398,9,rf,5-27-2015,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.241,.274,.384,8,rf,5-29-2015,
VS,TB,A,1,5,2,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,.248,.279,.410,7,cf,7- 7-2015,1
VS,TB,A,1,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,.242,.278,.400,6,rf,7- 7-2015,2
VS,TB,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.278,.400,3,lf,7- 9-2015,
VS,TOR,A,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,.238,.273,.393,7,lf,7-11-2015,
VS,TOR,A,1,3,1,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,.248,.282,.424,9,lf,7-12-2015,
AT,CHI,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.242,.276,.414,8,lf,7-17-2015,2
AT,CHI,A,1,5,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.248,.286,.421,9,"lf,rf",7-18-2015,
