at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CLE,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000,9,c,8-20-1989,
AT,KC,A,1,3,1,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,.500,.571,.667,8,c,8-24-1989,
AT,TEX,A,1,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.500,.545,.600,8,c,8-26-1989,
AT,TEX,A,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.385,.467,.462,8,c,8-27-1989,
AT,NY,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.357,.438,.429,7,c,9- 1-1989,
VS,MIL,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.313,.389,.375,8,c,9- 6-1989,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.263,.333,.316,8,c,9- 8-1989,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.227,.292,.273,8,c,9- 9-1989,
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.227,.292,.273,7,c,9-13-1989,
AT,CHI,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.231,.286,.269,9,c,9-15-1989,2
AT,CHI,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.267,.250,8,c,9-16-1989,
AT,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.267,.250,7,c,9-20-1989,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.242,.226,8,c,9-23-1989,1
VS,KC,A,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.176,.222,.206,8,c,9-28-1989,
VS,TEX,A,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.167,.211,.194,8,c,9-30-1989,
VS,TEX,A,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,.179,.220,.205,9,c,10- 1-1989,
VS,MIN,A,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,7,c,4-12-1990,
VS,MIN,A,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.000,.167,.000,7,c,4-15-1990,
AT,MIN,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.125,.000,7,c,4-20-1990,
AT,MIN,A,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,.000,.167,.000,7,c,4-21-1990,
AT,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.167,.000,6,c,4-22-1990,
AT,NY,A,1,4,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.214,.313,.429,8,c,4-27-1990,
AT,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.294,.400,7,c,4-28-1990,
AT,NY,A,1,3,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,.222,.300,.389,7,c,4-29-1990,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.182,.250,.318,8,c,5- 5-1990,
VS,NY,A,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.208,.296,.333,8,c,5- 6-1990,
VS,BAL,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.222,.300,.333,8,c,5- 7-1990,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.273,.300,8,c,5-12-1990,
AT,MIL,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.250,.273,4,c,5-16-1990,
AT,TOR,A,1,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.184,.244,.289,7,c,5-19-1990,
AT,CLE,A,1,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.190,.244,.310,8,c,5-22-1990,
VS,TOR,A,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.182,.234,.295,8,c,5-23-1990,
VS,MIL,A,1,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.188,.235,.313,8,c,5-26-1990,
AT,TEX,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.184,.231,.306,7,c,6- 4-1990,
AT,KC,A,0,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.173,.232,.288,3,c,6- 6-1990,
AT,KC,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.164,.220,.273,7,c,6- 7-1990,
VS,TEX,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.155,.210,.259,8,c,6- 8-1990,
VS,KC,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.161,.212,.258,8,c,6-13-1990,
VS,DET,A,1,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.169,.229,.262,8,c,6-21-1990,
VS,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.169,.229,.262,6,c,6-24-1990,
VS,CHI,A,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.179,.236,.269,6,c,6-26-1990,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.171,.227,.257,9,c,7- 1-1990,
VS,SEA,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.164,.218,.247,8,c,9-15-1990,
AT,KC,A,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.160,.222,.240,9,c,9-22-1990,
VS,KC,A,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.169,.229,.247,9,c,9-30-1990,
AT,OAK,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.175,.233,.250,9,c,10- 2-1990,
AT,OAK,A,1,4,1,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,.190,.244,.286,9,c,10- 3-1990,
AT,SEA,A,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.000,.000,.000,8,c,4-11-1991,
AT,MIN,A,1,4,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.250,.250,.375,9,c,4-13-1991,
VS,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.375,9,c,4-17-1991,
VS,MIN,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.182,.182,.273,8,c,4-21-1991,
AT,OAK,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.154,.154,.231,9,c,4-27-1991,
VS,BAL,A,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.125,.125,.188,8,c,5- 5-1991,
AT,BOS,A,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.211,.211,.263,9,c,6-16-1991,
AT,MIL,A,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.238,.238,.286,9,c,6-18-1991,
AT,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.238,.286,9,c,6-21-1991,
AT,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.238,.286,2,c,6-23-1991,
AT,KC,A,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.280,.308,.320,9,c,6-24-1991,
AT,KC,A,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.259,.286,.296,9,c,6-25-1991,
AT,KC,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.286,.296,6,c,6-26-1991,
VS,TEX,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.286,.296,5,"pr,dh",6-29-1991,
VS,MIL,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.233,.258,.267,8,c,9- 7-1991,
VS,TEX,A,1,4,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.265,.286,.353,9,c,9-11-1991,
VS,CHI,A,1,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.278,.316,.389,9,c,9-12-1991,
VS,CHI,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.275,.310,.375,8,c,9-14-1991,
AT,TEX,A,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.295,.326,.386,7,c,9-17-1991,
AT,TEX,A,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.283,.340,.370,8,c,9-19-1991,1
AT,CHI,A,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.271,.352,.354,9,c,9-20-1991,
AT,CHI,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.255,.345,.333,8,c,9-21-1991,
AT,KC,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.259,.355,.333,8,c,9-26-1991,
AT,KC,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.338,.316,7,c,9-27-1991,
AT,KC,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.233,.333,.300,7,c,9-28-1991,
AT,TOR,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.230,.329,.295,8,c,10- 1-1991,
AT,TOR,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.219,.324,.281,8,c,10- 2-1991,
VS,KC,A,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.212,.325,.273,8,c,10- 4-1991,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.203,.313,.261,7,c,10- 6-1991,
VS,KC,A,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.250,.250,8,c,6-12-1992,
VS,KC,A,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,8,c,6-13-1992,
VS,KC,A,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.400,.455,.400,7,c,6-14-1992,
VS,TEX,A,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,.308,.400,.308,8,c,6-15-1992,
VS,TEX,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.333,.250,8,c,6-17-1992,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.286,.211,8,c,6-19-1992,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.250,.182,8,c,6-21-1992,
AT,MIN,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.259,.200,8,c,6-22-1992,
AT,MIN,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.179,.233,.179,8,c,6-24-1992,
AT,SEA,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.161,.212,.161,8,c,6-25-1992,
AT,SEA,A,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.171,.237,.171,8,c,6-26-1992,
AT,SEA,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.184,.262,.184,8,c,6-27-1992,
VS,MIN,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.175,.250,.175,8,c,6-29-1992,
VS,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.175,.250,.175,8,c,6-30-1992,
VS,MIN,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.186,.255,.186,8,c,7- 1-1992,
AT,TOR,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.174,.240,.174,8,c,7- 3-1992,
VS,BOS,A,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.204,.278,.204,9,c,8-29-1992,
VS,BOS,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.196,.268,.196,9,c,8-30-1992,
VS,CLE,A,1,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.200,.267,.200,9,c,9- 1-1992,
VS,CLE,A,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.274,.211,9,c,9- 2-1992,
VS,BAL,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.203,.266,.203,9,c,9- 4-1992,
VS,BAL,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.197,.258,.197,9,c,9- 5-1992,
VS,OAK,A,1,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,.203,.261,.203,9,c,9- 7-1992,
VS,OAK,A,1,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.221,.274,.265,9,c,9- 8-1992,
VS,OAK,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.214,.267,.257,9,c,9- 9-1992,
AT,MIN,A,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,.205,.256,.247,9,c,9-11-1992,
AT,MIN,A,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.213,.263,.253,8,c,9-13-1992,
AT,SEA,A,1,3,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,.218,.274,.269,9,c,9-15-1992,
AT,SEA,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.210,.264,.259,9,c,9-16-1992,
VS,MIN,A,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.217,.270,.265,9,c,9-17-1992,
VS,MIN,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.209,.269,.256,9,c,9-19-1992,
VS,MIN,A,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.216,.281,.261,9,c,9-20-1992,
AT,MIL,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.276,.256,9,c,9-22-1992,
AT,MIL,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.207,.270,.250,9,c,9-23-1992,
AT,CHI,A,1,3,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,.211,.279,.284,9,c,9-25-1992,
AT,CHI,A,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.224,.290,.306,9,c,9-26-1992,
AT,CHI,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,.228,.291,.307,9,c,9-27-1992,
VS,KC,A,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.231,.292,.308,9,c,9-28-1992,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.224,.284,.299,9,c,9-30-1992,
