at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,PHI,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.250,.250,9,lf,8-21-2020,
VS,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,3,lf,8-22-2020,
AT,PHI,N,1,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.250,.500,8,cf,4- 1-2021,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.143,.286,8,cf,4- 3-2021,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.100,.100,.200,8,cf,4- 4-2021,
AT,WAS,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.143,.143,.214,8,cf,4- 6-2021,
AT,WAS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.214,9,cf,4- 7-2021,1
AT,WAS,N,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.125,.176,.188,8,cf,4- 7-2021,2
VS,PHI,N,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.150,.190,.200,8,cf,4- 9-2021,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.125,.160,.167,8,cf,4-10-2021,
VS,PHI,N,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.172,.214,8,cf,4-11-2021,
VS,MIA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.172,.214,6,"pr,cf",4-12-2021,
VS,MIA,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.133,.161,.200,8,cf,4-13-2021,
AT,TOR,A,1,3,1,1,0,0,1,4,0,0,2,0,1,0,0,0,0,0,0,.152,.176,.303,9,cf,5- 1-2021,
AT,TOR,A,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.167,.211,.306,9,cf,5- 2-2021,
AT,WAS,N,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,.154,.214,.282,8,cf,5- 4-2021,
AT,WAS,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.200,.262,8,cf,5- 5-2021,
AT,WAS,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.133,.188,.244,7,cf,5- 6-2021,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.125,.176,.229,8,cf,5- 7-2021,
VS,PHI,N,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,.113,.161,.208,8,cf,5- 8-2021,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.107,.153,.196,8,cf,5- 9-2021,
VS,TOR,A,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.119,.161,.220,8,cf,5-11-2021,
VS,TOR,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.113,.154,.210,8,cf,5-12-2021,
VS,TOR,A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.152,.206,8,cf,5-13-2021,
AT,PHI,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,9,cf,4- 8-2022,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.167,.167,9,cf,4- 9-2022,
AT,PHI,N,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.300,.300,.400,9,cf,4-10-2022,
