at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,MON,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,5- 4-1990,
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,pr,5- 8-1990,
AT,PHI,N,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,9,"ph,cf",5-11-1990,
AT,PHI,N,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.429,.667,2,lf,5-12-1990,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.571,8,ph,5-15-1990,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.333,.500,7,ph,5-16-1990,
VS,MON,N,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.400,.556,8,ph,5-20-1990,
VS,PHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.364,.500,9,ph,5-21-1990,
VS,PHI,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.300,.417,.500,2,"ph,rf",5-22-1990,
AT,PIT,N,1,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.286,.375,.500,3,rf,5-27-1990,
AT,CHI,N,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.313,.389,.500,9,rf,5-28-1990,
VS,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.368,.471,9,ph,6- 1-1990,
VS,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.350,.444,2,"pr,rf",6- 2-1990,
VS,HOU,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.263,.333,.421,9,ph,6- 3-1990,
VS,CIN,N,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.300,.364,.450,1,"ph,lf",6- 4-1990,
VS,CIN,N,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.423,.500,2,rf,6- 6-1990,
AT,ATL,N,1,7,4,4,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,.419,.455,.645,1,"cf,rf",6- 8-1990,
AT,ATL,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.361,.395,.556,1,cf,6- 9-1990,
AT,ATL,N,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,.368,.415,.553,2,"ph,rf",6-10-1990,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.359,.405,.538,2,ph,6-11-1990,
AT,SD,N,1,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.364,.404,.591,2,rf,6-12-1990,
AT,SD,N,1,5,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.347,.396,.571,2,rf,6-14-1990,
VS,ATL,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.347,.407,.571,9,ph,6-15-1990,
VS,ATL,N,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.360,.418,.580,9,ph,6-17-1990,
VS,SD,N,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.400,.537,2,rf,6-19-1990,
VS,SD,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.327,.393,.527,9,"ph,rf",6-20-1990,
AT,HOU,N,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.339,.400,.525,2,rf,6-22-1990,
AT,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.339,.400,.525,9,rf,6-23-1990,
AT,CIN,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.350,.409,.533,4,rf,6-25-1990,
AT,CIN,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.323,.380,.492,2,"rf,lf",6-26-1990,
AT,CIN,N,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.314,.368,.471,2,"rf,lf",6-27-1990,
VS,PIT,N,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.307,.358,.453,2,"rf,lf",6-29-1990,
VS,PIT,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.303,.354,.447,9,"ph,lf",6-30-1990,
VS,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.337,.425,2,lf,7- 1-1990,
VS,STL,N,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.274,.322,.405,2,lf,7- 2-1990,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.319,.400,4,lf,7- 8-1990,2
AT,STL,N,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,.271,.326,.400,2,"ph,rf",7-12-1990,
AT,PIT,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.267,.323,.395,2,ph,7-16-1990,
AT,PIT,N,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,.261,.330,.386,2,rf,7-17-1990,
AT,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.330,.386,4,lf,7-18-1990,
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.327,.382,2,ph,8-12-1990,
AT,PHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.314,.366,1,cf,8-14-1990,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.240,.305,.354,1,"cf,rf",8-15-1990,
AT,PHI,N,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.240,.311,.354,9,ph,8-16-1990,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.240,.311,.354,6,pr,8-19-1990,
VS,MON,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.308,.351,9,ph,8-21-1990,
VS,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.237,.308,.351,9,"pr,rf",8-22-1990,
VS,PHI,N,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.240,.309,.350,2,"ph,rf",8-24-1990,
VS,ATL,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.309,.350,9,"pr,2b",9-10-1990,
AT,LA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.238,.306,.347,3,"ss,lf",9-21-1990,
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.238,.306,.347,9,ph,9-28-1990,
VS,LA,N,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.245,.319,.353,9,"ph,lf",9-30-1990,
VS,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.316,.350,8,"ph,2b",10- 2-1990,
VS,ATL,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.243,.314,.346,2,"rf,3b,lf",10- 3-1990,
VS,MON,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000,1,lf,5-18-1991,
VS,MON,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,ph,5-19-1991,
AT,CIN,N,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,9,"ph,lf,cf",5-22-1991,
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,9,ph,5-23-1991,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.125,.222,.125,9,ph,5-24-1991,
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.111,.200,.111,7,ph,5-29-1991,
VS,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.182,.100,9,ph,5-30-1991,
VS,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.167,.091,9,"ph,lf",5-31-1991,
AT,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.083,.154,.083,9,ph,6- 8-1991,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.154,.083,3,pr,6-19-1991,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.077,.143,.077,9,ph,6-20-1991,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.071,.133,.071,7,lf,6-22-1991,
VS,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.071,.133,.071,7,pr,6-23-1991,
VS,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,pr,4- 5-1993,
AT,MON,N,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,9,"ph,lf",4-13-1993,
AT,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,7,pr,4-15-1993,
VS,FLA,N,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.667,.500,2,"ph,cf",4-16-1993,
