at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,LA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,c,9-25-2005,
VS,MIL,N,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.600,.500,6,c,10- 2-2005,
VS,STL,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,c,4-17-2006,
VS,STL,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,8,c,4-19-2006,
AT,HOU,N,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.375,.444,.375,8,c,4-21-2006,
AT,HOU,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.364,.300,8,c,4-22-2006,
AT,STL,N,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.385,.429,.385,8,c,4-25-2006,
AT,STL,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.375,.412,.375,8,c,4-26-2006,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.333,.300,8,c,4-28-2006,
VS,PHI,N,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.333,.304,7,c,4-29-2006,
AT,CHI,N,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.280,.333,.280,7,c,5- 1-2006,
AT,CHI,N,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.286,.355,.286,7,c,5- 2-2006,
AT,NY,N,1,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.303,.361,.303,7,c,5- 3-2006,
AT,NY,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.270,.325,.270,7,c,5- 4-2006,
AT,WAS,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.341,.289,9,ph,5- 5-2006,
AT,WAS,N,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.262,.326,.262,7,c,5- 6-2006,
AT,WAS,N,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.261,.320,.283,7,c,5- 7-2006,
VS,ARI,N,1,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.280,.333,.380,7,c,5- 9-2006,
VS,ARI,N,1,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.296,.345,.389,6,c,5-10-2006,
VS,FLA,N,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.305,.349,.390,7,c,5-12-2006,
VS,FLA,N,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.302,.343,.381,7,c,5-13-2006,
VS,FLA,N,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.299,.338,.373,8,c,5-14-2006,
VS,CIN,N,1,4,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,.296,.342,.366,7,c,5-16-2006,
VS,CIN,N,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.307,.350,.387,7,c,5-17-2006,
VS,CIN,N,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.341,.388,6,c,5-18-2006,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.289,.330,.373,8,c,5-19-2006,
AT,CLE,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.287,.326,.379,8,c,5-20-2006,
AT,ARI,N,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.281,.333,.371,7,c,5-22-2006,
AT,ARI,N,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.283,.340,.370,8,c,5-23-2006,
AT,ARI,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.281,.337,.365,8,c,5-24-2006,
VS,HOU,N,1,4,1,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.310,.361,.400,8,c,5-26-2006,
VS,HOU,N,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.308,.357,.394,9,"ph,c",5-27-2006,
VS,HOU,N,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.315,.362,.407,8,c,5-28-2006,
VS,MIL,N,1,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.306,.364,.396,8,c,5-29-2006,
VS,MIL,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.302,.357,.388,8,c,5-30-2006,
VS,MIL,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.300,.354,.383,8,c,5-31-2006,
VS,SD,N,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.303,.356,.385,8,c,6- 2-2006,
VS,SD,N,1,3,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,.312,.360,.392,8,c,6- 3-2006,
VS,SD,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.358,.389,8,c,6- 4-2006,
AT,COL,N,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.323,.369,.408,8,c,6- 5-2006,
AT,COL,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.331,.375,.414,8,c,6- 6-2006,
AT,COL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.328,.372,.410,7,ph,6- 7-2006,
AT,SF,N,1,3,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.328,.380,.409,8,c,6- 8-2006,
