at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,7,lf,7-12-1977,
VS,LA,N,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,1,lf,7-13-1977,
VS,LA,N,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.300,.300,.400,1,"lf,cf",7-14-1977,
AT,CIN,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.267,1,cf,7-15-1977,
AT,CIN,N,1,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,.211,.211,.263,1,cf,7-16-1977,
AT,CIN,N,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.182,.182,.227,1,cf,7-17-1977,
AT,STL,N,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.167,.231,.208,1,lf,7-21-1977,
AT,STL,N,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.154,.241,.192,1,lf,7-22-1977,
AT,STL,N,1,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.167,.286,.200,1,lf,7-23-1977,
AT,CHI,N,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.300,.229,1,lf,7-24-1977,1
AT,CHI,N,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.200,.289,.225,1,lf,7-24-1977,2
AT,CHI,N,1,4,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,.227,.320,.250,1,lf,7-25-1977,
AT,PIT,N,1,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.240,.321,.260,1,lf,7-27-1977,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.222,.300,.241,1,lf,7-29-1977,
VS,CHI,N,1,4,2,4,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,.276,.354,.345,1,lf,7-30-1977,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.258,.333,.323,1,lf,7-31-1977,
VS,PIT,N,1,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,.266,.356,.328,1,lf,8- 1-1977,
VS,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.338,.309,1,lf,8- 3-1977,
VS,STL,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.333,.306,1,lf,8- 5-1977,
VS,STL,N,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.329,.316,1,lf,8- 6-1977,1
VS,STL,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.238,.315,.300,1,lf,8- 7-1977,
AT,SF,N,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.333,.333,1,lf,8- 9-1977,1
AT,SF,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.316,.315,1,lf,8-10-1977,
AT,SF,N,1,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.258,.330,.323,1,lf,8-11-1977,
AT,SD,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.330,.323,1,lf,8-12-1977,
AT,SD,N,1,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.260,.333,.320,1,lf,8-14-1977,
AT,ATL,N,1,3,4,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,.262,.350,.340,1,"lf,cf",8-15-1977,
AT,ATL,N,1,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.262,.352,.336,1,lf,8-16-1977,
AT,ATL,N,1,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.270,.362,.351,1,lf,8-17-1977,
AT,PHI,N,1,4,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.278,.371,.357,1,cf,8-19-1977,
AT,PHI,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.278,.376,.357,9,ph,8-21-1977,
AT,NY,N,1,4,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.277,.377,.361,1,cf,8-22-1977,
AT,NY,N,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.276,.373,.366,1,cf,8-23-1977,
VS,PHI,N,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.286,.384,.373,1,cf,8-24-1977,
VS,PHI,N,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.287,.383,.372,1,lf,8-25-1977,
VS,MON,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.284,.377,.366,1,lf,8-26-1977,
VS,MON,N,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.380,.384,1,"lf,cf",8-27-1977,
VS,MON,N,1,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.296,.387,.387,1,cf,8-28-1977,
