at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8,2b,4-13-1976,
AT,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,1,2b,4-19-1976,
AT,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,1,2b,4-20-1976,
VS,BAL,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,8,2b,4-24-1976,
VS,BAL,A,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,.167,.286,.167,8,2b,4-25-1976,
VS,CLE,A,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.333,.273,8,2b,4-27-1976,
VS,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.214,.267,.214,8,2b,4-28-1976,
VS,MIL,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.235,.316,.235,9,2b,5- 1-1976,
AT,DET,A,1,2,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,.263,.364,.263,9,2b,5- 4-1976,
AT,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.217,.308,.217,9,2b,5- 5-1976,
AT,MIL,A,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.310,.200,9,2b,5- 7-1976,
AT,MIL,A,1,5,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.200,.294,.233,9,2b,5- 8-1976,
AT,MIL,A,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.219,.324,.250,9,2b,5- 9-1976,
AT,KC,A,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.341,.333,9,2b,5-10-1976,
AT,KC,A,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.378,.375,9,2b,5-11-1976,
AT,KC,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.347,.341,7,2b,5-12-1976,
AT,CAL,A,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.283,.377,.348,8,2b,5-14-1976,
AT,CAL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.280,.368,.340,8,2b,5-15-1976,1
AT,CAL,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.291,.371,.345,9,2b,5-15-1976,2
AT,CAL,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.348,.322,8,2b,5-16-1976,
VS,OAK,A,1,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.258,.352,.306,8,2b,5-17-1976,
VS,OAK,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.333,.288,8,2b,5-18-1976,
AT,CHI,A,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.261,.354,.304,7,2b,5-19-1976,
AT,CHI,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.354,.306,9,2b,5-20-1976,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.253,.341,.293,9,2b,5-21-1976,
VS,KC,A,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.341,.295,9,2b,5-22-1976,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.247,.330,.284,9,2b,5-23-1976,
AT,OAK,A,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.241,.330,.277,9,2b,5-24-1976,
AT,OAK,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.230,.316,.264,9,2b,5-25-1976,
AT,OAK,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.220,.304,.253,8,2b,5-26-1976,
AT,OAK,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.213,.295,.245,8,2b,5-27-1976,
VS,TEX,A,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.312,.265,8,2b,5-28-1976,
VS,TEX,A,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.238,.313,.277,8,2b,5-29-1976,
VS,TEX,A,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.322,.288,8,2b,5-30-1976,
VS,CAL,A,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.262,.331,.318,8,2b,5-31-1976,
VS,CAL,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.320,.306,8,2b,6- 1-1976,
