at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,PHI,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,1,rf,6-30-2000,
AT,PHI,N,1,5,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.375,.375,.500,1,rf,7- 2-2000,
AT,CHI,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.375,.444,.500,9,ph,7- 3-2000,
AT,CHI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.400,.444,9,ph,7- 4-2000,
AT,CHI,N,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.364,.417,.455,1,rf,7- 5-2000,
VS,MIN,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.385,.417,9,ph,7- 7-2000,
AT,CLE,A,1,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.353,.389,.588,1,lf,7-15-2000,
AT,LA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.368,.556,9,rf,7-16-2000,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.368,.556,5,lf,7-18-2000,
VS,COL,N,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000,9,cf,5- 6-2001,
AT,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,cf,5- 7-2001,
AT,STL,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,.000,2,cf,5- 9-2001,
AT,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,1,cf,5-10-2001,
VS,KC,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,1,cf,7-13-2001,
VS,KC,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.188,.188,1,cf,7-14-2001,
VS,LA,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,1,cf,7-15-2001,
VS,LA,N,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.200,.200,.240,1,cf,7-16-2001,
VS,LA,N,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.207,.207,.241,1,cf,7-17-2001,
VS,CHI,N,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,.194,.242,.226,1,cf,7-18-2001,
VS,CHI,N,1,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.194,.237,.306,1,cf,7-19-2001,
AT,STL,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.175,.214,.275,1,cf,7-20-2001,
AT,STL,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.186,.239,.279,1,cf,7-21-2001,
AT,STL,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.186,.239,.279,6,"pr,rf",7-22-2001,
AT,CHI,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.191,.240,.277,1,cf,7-24-2001,
AT,CHI,N,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.216,.259,.294,8,cf,7-25-2001,
VS,HOU,N,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.236,.276,.327,2,cf,7-26-2001,
VS,HOU,N,1,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.286,.333,1,cf,7-27-2001,
VS,HOU,N,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.294,.328,1,cf,7-28-2001,1
VS,HOU,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.288,.319,1,cf,7-28-2001,2
VS,HOU,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.247,.286,.315,1,cf,7-29-2001,
AT,SF,N,1,6,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,.253,.289,.329,1,cf,7-31-2001,
AT,SF,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.241,.276,.313,1,cf,8- 1-2001,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.238,.273,.310,9,ph,8- 2-2001,
AT,COL,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.258,.292,1,cf,8- 3-2001,
AT,COL,N,1,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.234,.265,.319,1,cf,8- 4-2001,
AT,COL,N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.232,.260,.316,9,rf,8- 5-2001,
VS,LA,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.232,.260,.313,1,cf,8- 7-2001,
VS,LA,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.223,.250,.301,8,cf,8- 8-2001,
VS,LA,N,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.224,.250,.308,8,cf,8- 9-2001,
VS,SD,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.250,.306,8,cf,8-10-2001,
VS,SD,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.232,.256,.313,9,rf,8-11-2001,
VS,SD,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.230,.254,.310,9,ph,8-12-2001,
AT,ARI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.252,.307,8,rf,8-14-2001,
AT,ARI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.220,.244,.297,7,rf,8-15-2001,
AT,HOU,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.221,.244,.295,1,rf,8-16-2001,
AT,HOU,N,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.224,.246,.296,8,rf,8-17-2001,
VS,COL,N,1,4,2,2,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,.500,.667,1.500,1,cf,8- 1-2003,
VS,COL,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.400,.750,1,cf,8- 2-2003,
VS,COL,N,1,5,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,.308,.400,.692,1,cf,8- 3-2003,
AT,SF,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.294,.368,.588,1,cf,8- 5-2003,
AT,SF,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.304,.476,1,cf,8- 6-2003,
AT,SF,N,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.269,.321,.462,1,cf,8- 7-2003,
AT,COL,N,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.267,.333,.433,1,cf,8- 8-2003,
AT,COL,N,1,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.257,.316,.429,1,cf,8- 9-2003,
AT,COL,N,1,5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.302,.450,1,cf,8-10-2003,
VS,STL,N,1,5,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.311,.354,.511,1,cf,8-11-2003,
VS,STL,N,1,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.306,.358,.551,1,cf,8-12-2003,
VS,STL,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.278,.328,.500,1,cf,8-13-2003,
VS,STL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.306,.466,1,cf,8-14-2003,
VS,MIL,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.297,.450,9,cf,8-15-2003,
VS,MIL,N,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.266,.319,.453,1,cf,8-16-2003,
VS,MIL,N,1,3,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,.269,.319,.493,2,cf,8-17-2003,
AT,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.265,.315,.485,9,"ph,cf",8-19-2003,
AT,STL,N,1,6,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.257,.304,.459,1,cf,8-20-2003,
AT,STL,N,1,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.266,.310,.494,1,cf,8-21-2003,
AT,MIL,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.318,.500,9,ph,8-22-2003,
AT,MIL,N,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.322,.506,2,cf,8-23-2003,
AT,MIL,N,1,5,2,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,.311,.347,.567,1,cf,8-24-2003,
VS,FLA,N,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.312,.354,.559,1,cf,8-26-2003,
VS,FLA,N,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.346,.551,1,cf,8-27-2003,
VS,FLA,N,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.352,.566,8,"ph,cf",8-28-2003,
VS,ATL,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.298,.336,.538,1,cf,8-29-2003,
VS,ATL,N,1,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.312,.348,.569,1,cf,8-30-2003,
VS,ATL,N,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.316,.350,.561,1,cf,8-31-2003,
AT,FLA,N,1,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.319,.352,.555,1,cf,9- 2-2003,
AT,FLA,N,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.317,.354,.545,1,cf,9- 3-2003,
AT,FLA,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.313,.348,.531,1,cf,9- 4-2003,
