at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CLE,A,1,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.500,.667,1,3b,9- 1-1967,
VS,CLE,A,1,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.250,.333,.375,1,3b,9- 2-1967,
VS,CLE,A,1,5,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.308,.357,.385,1,3b,9- 3-1967,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.294,.313,1,3b,9- 4-1967,1
VS,BAL,A,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.261,.273,1,3b,9- 4-1967,2
VS,BAL,A,1,5,3,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.296,.321,.444,1,3b,9- 5-1967,1
VS,BAL,A,1,5,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.281,.303,.406,1,3b,9- 5-1967,2
AT,CHI,A,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.308,.395,1,3b,9- 6-1967,
AT,WAS,A,1,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,.279,.295,.419,1,3b,9- 8-1967,
AT,WAS,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.277,.292,.404,1,3b,9- 9-1967,
AT,WAS,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.308,.412,1,3b,9-10-1967,
AT,NY,A,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.276,.368,1,3b,9-12-1967,1
AT,NY,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.246,.258,.344,1,3b,9-12-1967,2
AT,NY,A,1,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.258,.269,.364,1,3b,9-13-1967,
VS,KC,A,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.278,.380,1,3b,9-15-1967,
VS,KC,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.276,.373,1,3b,9-16-1967,
VS,KC,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.253,.263,.354,1,3b,9-17-1967,
VS,CHI,A,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.253,.262,.349,1,3b,9-18-1967,
VS,CHI,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.264,.273,.356,1,3b,9-19-1967,
VS,CHI,A,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.258,.337,1,3b,9-20-1967,
AT,KC,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.247,.323,1,3b,9-22-1967,
AT,KC,A,1,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.248,.255,.327,1,3b,9-23-1967,
AT,KC,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.248,.255,.324,1,3b,9-24-1967,
AT,MIN,A,1,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.255,.261,.327,1,3b,9-25-1967,
AT,MIN,A,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.254,.261,.325,1,3b,9-26-1967,
AT,MIN,A,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.252,.258,.319,1,3b,9-27-1967,
AT,DET,A,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.246,.258,.311,1,3b,9-30-1967,1
AT,DET,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.240,.252,.304,1,3b,9-30-1967,2
AT,DET,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.250,.300,1,3b,10- 1-1967,1
AT,BAL,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,9,ph,4-14-1968,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.250,.250,1,2b,4-19-1968,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,"pr,3b",4-20-1968,
VS,WAS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,8,"pr,3b",4-23-1968,
VS,OAK,A,1,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.250,.333,.500,8,2b,4-26-1968,
VS,OAK,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.231,.333,8,3b,4-27-1968,
AT,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.214,.308,9,3b,6-13-1968,2
VS,WAS,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.176,.222,.294,1,3b,6-14-1968,
