at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,9-12-1958,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,9-25-1958,
VS,KC,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,4,c,9-26-1958,
VS,KC,A,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.286,.375,.286,8,c,9-28-1958,
AT,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,4,"pr,c",4-10-1959,
VS,DET,A,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,6,c,4-18-1959,
VS,BOS,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,7,c,5- 2-1959,
VS,BAL,A,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.714,9,ph,5- 3-1959,
AT,BAL,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.444,.750,9,ph,5-19-1959,
AT,KC,A,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.455,.700,9,"ph,c",5-23-1959,
VS,DET,A,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.455,.500,.818,7,ph,5-29-1959,
VS,DET,A,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.375,.412,.625,4,c,5-30-1959,2
VS,KC,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.350,.381,.550,3,c,6- 1-1959,
VS,BAL,A,1,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.391,.440,.565,5,c,6- 3-1959,
VS,BAL,A,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.360,.429,.520,5,c,6- 4-1959,
VS,BOS,A,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.370,.452,.519,6,c,6- 5-1959,
VS,BOS,A,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.387,.457,.548,6,c,6- 6-1959,
VS,BOS,A,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.343,.425,.486,4,c,6- 7-1959,2
AT,BAL,A,1,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.333,.409,.487,5,c,6-14-1959,2
AT,BOS,A,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.310,.396,.452,6,c,6-21-1959,
AT,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.388,.442,9,ph,7- 2-1959,
AT,KC,A,1,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.292,.370,.479,6,c,7- 4-1959,1
AT,KC,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.292,.382,.479,9,ph,7- 4-1959,2
VS,KC,A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.469,6,c,7-12-1959,1
VS,KC,A,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.308,.400,.481,6,c,7-12-1959,2
AT,BOS,A,1,4,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,.321,.415,.536,6,c,7-14-1959,
AT,BOS,A,1,4,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,.350,.443,.550,4,c,7-16-1959,2
AT,NY,A,1,3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.349,.446,.556,6,c,7-19-1959,1
VS,BAL,A,1,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,.348,.449,.545,6,c,7-25-1959,
VS,BAL,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.329,.427,.514,4,c,7-26-1959,2
VS,NY,A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.422,.507,5,c,7-29-1959,
VS,WAS,A,1,4,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.320,.414,.507,4,c,8- 2-1959,2
AT,BAL,A,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.329,.420,.553,7,ph,8- 4-1959,
AT,BAL,A,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.316,.413,.532,4,c,8- 5-1959,1
AT,BAL,A,1,6,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.318,.414,.541,4,c,8- 6-1959,
AT,WAS,A,1,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,.303,.404,.517,4,c,8- 7-1959,
AT,WAS,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,.290,.389,.495,4,c,8- 9-1959,1
AT,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.287,.385,.489,1,ph,8-11-1959,
AT,DET,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.284,.382,.484,9,ph,8-12-1959,
AT,KC,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.283,.377,.475,5,c,8-15-1959,
VS,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.377,.475,4,ph,8-18-1959,
VS,BAL,A,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.280,.379,.470,9,"ph,c",8-19-1959,
VS,WAS,A,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.287,.385,.475,9,ph,8-21-1959,
VS,BOS,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.294,.390,.480,9,ph,8-25-1959,
VS,BOS,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.291,.387,.476,9,ph,8-26-1959,
VS,BOS,A,1,4,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,.299,.390,.477,4,c,8-27-1959,
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.387,.472,8,ph,8-30-1959,1
AT,CLE,A,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.294,.394,.468,5,c,8-30-1959,2
VS,CLE,A,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.300,.398,.500,9,ph,9- 5-1959,
VS,CLE,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.300,.403,.500,9,ph,9- 6-1959,
VS,KC,A,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.306,.412,.505,5,c,9- 7-1959,2
VS,KC,A,1,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,.310,.418,.504,5,c,9- 8-1959,
AT,BAL,A,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.304,.416,.496,5,c,9-11-1959,2
AT,BAL,A,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.299,.414,.487,4,c,9-12-1959,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.292,.406,.475,5,c,9-22-1959,
AT,DET,A,1,3,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.301,.415,.480,5,c,9-25-1959,
AT,DET,A,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.294,.407,.468,5,c,9-27-1959,
VS,DET,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,9,c,4-19-1960,
