at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,6-23-1965,
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,6-25-1965,
AT,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,4,1b,6-26-1965,
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,6-27-1965,1
AT,CLE,A,1,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.200,.333,.200,7,lf,6-27-1965,2
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.333,.200,4,1b,6-30-1965,1
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,7,ph,6-30-1965,2
VS,MIN,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,9,ph,7- 2-1965,
VS,MIN,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.222,.125,9,ph,7- 3-1965,
VS,MIN,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.111,.200,.111,9,ph,7- 4-1965,
VS,BAL,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.273,.200,9,ph,7- 5-1965,
VS,BAL,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.333,.200,9,ph,7- 7-1965,
VS,BAL,A,0,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.667,9,"ph,1b",7- 8-1965,
VS,DET,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.467,.667,9,ph,7- 9-1965,
VS,DET,A,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.385,.500,.923,9,"ph,1b",7-10-1965,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.471,.857,9,ph,7-11-1965,
AT,MIN,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.500,.867,9,ph,7-15-1965,1
AT,MIN,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.474,.813,9,ph,7-15-1965,2
AT,MIN,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.353,.450,.765,9,ph,7-17-1965,
AT,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.722,9,ph,7-18-1965,1
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.722,4,1b,7-19-1965,
AT,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.316,.409,.684,9,ph,7-21-1965,1
AT,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.391,.650,9,ph,7-21-1965,2
AT,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.391,.650,4,"pr,1b",7-22-1965,
AT,WAS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.619,7,ph,7-23-1965,
AT,WAS,A,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.261,.346,.565,9,"ph,rf",7-24-1965,
AT,WAS,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.333,.542,9,ph,7-25-1965,1
AT,WAS,A,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.269,.367,.577,6,1b,7-25-1965,2
AT,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.367,.577,4,1b,7-27-1965,1
AT,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.367,.577,4,"pr,1b",7-27-1965,2
AT,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.355,.556,9,ph,7-28-1965,
VS,WAS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.344,.536,9,ph,7-31-1965,
VS,WAS,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.276,.364,.552,9,ph,8- 1-1965,2
VS,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.353,.533,5,ph,8- 3-1965,
VS,BOS,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.258,.343,.516,8,ph,8- 4-1965,
VS,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.343,.516,4,1b,8- 6-1965,
VS,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.343,.516,4,1b,8- 7-1965,
AT,DET,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.258,.361,.516,9,ph,8-10-1965,
AT,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.351,.500,9,ph,8-11-1965,1
AT,DET,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.273,.368,.515,7,"ph,lf",8-11-1965,2
AT,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.265,.359,.500,9,ph,8-13-1965,
AT,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.359,.500,4,1b,8-14-1965,
AT,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.350,.486,4,1b,8-15-1965,1
AT,NY,A,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.263,.349,.474,7,1b,8-15-1965,2
AT,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.349,.474,4,1b,8-17-1965,
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.341,.462,9,ph,8-18-1965,1
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.333,.450,8,ph,8-18-1965,2
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.244,.326,.439,9,ph,8-20-1965,
VS,CHI,A,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.244,.340,.439,8,ph,8-21-1965,
VS,CHI,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.244,.354,.439,9,ph,8-22-1965,1
VS,CHI,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.353,.432,7,1b,8-22-1965,2
VS,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.353,.432,4,1b,8-23-1965,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.346,.422,9,ph,8-24-1965,
VS,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.346,.422,6,1b,8-25-1965,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.340,.413,9,ph,8-26-1965,
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.340,.413,4,1b,8-28-1965,
VS,CLE,A,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.224,.316,.388,6,1b,8-31-1965,2
VS,CLE,A,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.212,.300,.365,6,1b,9- 1-1965,
VS,CLE,A,1,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.228,.308,.386,7,1b,9- 2-1965,
AT,CAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.308,.386,6,1b,9- 3-1965,1
AT,CAL,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.318,.397,5,1b,9- 3-1965,2
