at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,FLA,N,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.500,.667,.500,7,1b,6-16-1995,
VS,FLA,N,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500,.750,.500,6,ph,6-17-1995,
VS,FLA,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.667,.800,.667,9,ph,6-18-1995,
AT,NY,N,1,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.500,.600,.625,5,1b,6-22-1995,
AT,STL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.417,.500,.500,5,1b,6-25-1995,
AT,SD,N,1,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,.556,.563,6,lf,9- 1-1995,
AT,SD,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.421,.476,.474,6,lf,9- 2-1995,
AT,SD,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.391,.440,.435,6,lf,9- 3-1995,
AT,LA,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.333,.379,.370,6,lf,9- 4-1995,
VS,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.321,.367,.357,9,ph,9- 8-1995,
AT,MON,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.355,.345,9,ph,9-13-1995,
AT,PIT,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.300,.344,.333,3,1b,9-14-1995,
AT,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.333,.323,9,ph,9-17-1995,
VS,FLA,N,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.313,.353,.344,9,ph,9-18-1995,
VS,FLA,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.306,.342,.333,3,1b,9-20-1995,
VS,FLA,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.282,.317,.308,6,1b,9-21-1995,
VS,CIN,N,1,3,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,.286,.333,.310,6,1b,9-22-1995,
VS,CIN,N,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.289,.333,.333,6,1b,9-23-1995,
VS,CIN,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.286,.327,.327,6,1b,9-24-1995,
VS,ATL,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.264,.304,.302,6,1b,9-26-1995,
VS,ATL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.300,.298,6,1b,9-27-1995,
