at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,SF,N,1,5,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.200,.429,.200,2,cf,5- 3-2019,
VS,SF,N,1,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.250,.455,.625,6,cf,5- 4-2019,
VS,SF,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.182,.400,.455,5,cf,5- 5-2019,
VS,SF,N,1,6,2,2,0,0,2,2,0,0,3,0,0,0,0,0,1,0,0,.235,.381,.765,1,cf,5- 6-2019,
AT,OAK,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.333,.650,6,cf,5- 7-2019,
AT,OAK,A,1,6,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.231,.333,.577,1,cf,5- 8-2019,
AT,OAK,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.200,.294,.500,1,cf,5- 9-2019,
AT,SF,N,1,5,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,.229,.308,.543,1,cf,5-10-2019,
AT,SF,N,1,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.231,.318,.513,1,cf,5-11-2019,
AT,SF,N,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,.233,.313,.512,1,cf,5-12-2019,
VS,CHI,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.217,.308,.478,1,cf,5-14-2019,
VS,CHI,N,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,.235,.316,.471,1,cf,5-15-2019,
VS,CHI,N,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.250,.323,.464,1,cf,5-16-2019,
VS,LA,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.237,.318,.441,1,cf,5-17-2019,
VS,LA,N,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.238,.314,.429,1,cf,5-18-2019,
VS,LA,N,1,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.250,.320,.426,1,cf,5-19-2019,
