at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,BRO,N,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.600,1,1b,,4-14-1953,
AT,BRO,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.444,.444,.556,5,1b,,4-15-1953,
VS,PHI,N,1,4,2,1,0,1,0,2,0,0,0,0,1,0,2,0,0,0,.385,.385,.615,5,1b,,4-16-1953,
VS,BRO,N,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.333,.444,.533,5,1b,,4-19-1953,
VS,NY,N,1,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.400,.478,.600,5,1b,,4-21-1953,
VS,NY,N,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.409,.500,.591,5,1b,,4-22-1953,
VS,NY,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.385,.467,.538,1,1b,,4-23-1953,
AT,PHI,N,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.345,.441,.483,1,1b,,4-24-1953,
AT,PHI,N,1,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.353,.436,.471,1,1b,,4-25-1953,
AT,PHI,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.386,.410,2,1b,,4-26-1953,1
AT,PHI,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.375,.419,2,1b,,4-26-1953,2
VS,CHI,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.298,.365,.404,2,1b,,4-28-1953,
VS,CHI,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.314,.375,.412,2,1b,,4-29-1953,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.291,.350,.382,2,1b,,4-30-1953,
VS,CIN,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.323,.350,2,1b,,5- 1-1953,
VS,CIN,N,1,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.262,.314,.338,2,1b,,5- 2-1953,
VS,STL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.297,.319,2,1b,,5- 3-1953,
VS,STL,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.236,.295,.306,2,1b,,5- 4-1953,
AT,NY,N,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.304,.315,2,1b,,5- 9-1953,1
AT,NY,N,1,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.263,.333,.329,2,1b,Date,5- 9-1953,2
AT,NY,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.253,.330,.316,2,1b,,5-10-1953,1
AT,NY,N,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.241,.323,.301,1,1b,,5-10-1953,2
AT,MIL,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.320,.299,1,1b,,5-14-1953,
AT,MIL,N,1,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.242,.324,.297,1,1b,,5-15-1953,
AT,CHI,N,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.232,.318,.284,1,1b,,5-16-1953,
AT,CHI,N,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.235,.318,.286,2,1b,,5-17-1953,1
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.225,.307,.275,1,1b,,5-17-1953,2
AT,STL,N,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.229,.314,.276,2,1b,,5-19-1953,
AT,STL,N,1,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.331,.306,3,1b,,5-20-1953,
VS,PHI,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.336,.313,3,1b,,5-21-1953,
VS,NY,N,1,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.261,.338,.311,3,1b,,5-23-1953,
VS,NY,N,1,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.262,.348,.320,3,1b,,5-24-1953,
VS,NY,N,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.359,.341,3,1b,,5-25-1953,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.349,.331,3,1b,,5-27-1953,1
VS,PHI,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.347,.328,3,1b,,5-27-1953,2
VS,PHI,N,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.268,.348,.326,3,1b,,5-28-1953,
VS,BRO,N,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,.270,.348,.326,3,1b,,5-29-1953,
VS,BRO,N,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.260,.337,.315,2,1b,,5-30-1953,1
VS,BRO,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.341,.320,9,ph,,5-30-1953,2
AT,BRO,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.270,.345,.324,9,ph,Date,5-31-1953,1
AT,BRO,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.265,.339,.318,5,1b,,5-31-1953,2
VS,CHI,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.343,.322,9,ph,,6- 2-1953,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.335,.314,2,1b,,6- 3-1953,
VS,CHI,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.263,.333,.313,2,lf,,6- 4-1953,
