at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,STL,A,1,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.250,.500,7,lf,,8-31-1928,
AT,STL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.375,7,lf,,9- 1-1928,
AT,STL,A,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,.182,.182,.273,7,lf,,9- 2-1928,
AT,CHI,A,1,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.267,.267,.400,7,lf,,9- 3-1928,1
AT,CHI,A,1,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,.294,.368,.412,7,lf,,9- 3-1928,2
AT,CHI,A,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.273,.333,.364,7,lf,,9- 4-1928,1
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.286,.308,7,lf,,9- 4-1928,2
AT,CHI,A,1,5,2,2,0,2,0,0,1,0,1,0,0,0,1,0,1,0,.258,.324,.452,1,lf,,9- 5-1928,
VS,STL,A,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.286,.342,.457,1,lf,,9- 8-1928,
VS,STL,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.349,.450,1,lf,,9- 9-1928,
VS,CHI,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.289,.333,.422,1,lf,,9-10-1928,
VS,CHI,A,1,5,1,3,1,0,1,4,0,0,1,0,0,0,0,0,0,0,.320,.358,.520,1,lf,,9-11-1928,
VS,WAS,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.315,.351,.500,1,lf,,9-15-1928,
VS,WAS,A,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.293,.328,.466,1,lf,,9-16-1928,
VS,WAS,A,1,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.333,.476,1,lf,,9-17-1928,
VS,WAS,A,1,5,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.309,.338,.485,1,lf,,9-18-1928,
VS,PHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.292,.320,.458,1,lf,,9-20-1928,
VS,PHI,A,1,5,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.325,.350,.519,1,lf,,9-21-1928,
VS,PHI,A,1,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.365,.519,1,lf,,9-22-1928,
VS,BOS,A,1,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.341,.371,.518,1,lf,Date,9-23-1928,
VS,BOS,A,1,5,1,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,.356,.383,.556,1,lf,,9-24-1928,
VS,NY,A,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.358,.384,.558,1,lf,,9-27-1928,1
VS,NY,A,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.354,.379,.556,1,lf,,9-27-1928,2
