at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,SF,N,1,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.250,.500,1,cf,8-19-2009,
VS,SF,N,1,5,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,.222,.222,.667,2,cf,8-20-2009,
AT,PIT,N,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,.154,.214,.462,2,cf,8-21-2009,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.118,.167,.353,1,cf,8-22-2009,
AT,PIT,N,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.150,.190,.400,1,cf,8-23-2009,
AT,MIL,N,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.154,.214,.346,1,cf,8-25-2009,
AT,MIL,N,1,6,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,.156,.206,.313,1,cf,8-26-2009,
AT,MIL,N,1,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.189,.231,.324,1,cf,8-27-2009,
VS,LA,N,1,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.214,.250,.333,1,cf,8-28-2009,
VS,LA,N,1,4,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,.196,.245,.304,1,cf,8-29-2009,
VS,LA,N,1,6,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.212,.255,.308,1,cf,8-30-2009,
VS,PIT,N,1,4,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,.232,.271,.375,1,cf,8-31-2009,1
VS,PIT,N,1,5,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.246,.281,.426,1,cf,8-31-2009,2
VS,PIT,N,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.275,.409,1,cf,9- 1-2009,
VS,PIT,N,1,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,.271,.301,.471,1,cf,9- 2-2009,
AT,ATL,N,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.267,.295,.453,1,cf,9- 4-2009,
AT,ATL,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.253,.280,.430,1,cf,9- 5-2009,
AT,ATL,N,1,5,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,.274,.299,.500,1,cf,9- 6-2009,
AT,COL,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,.264,.297,.483,1,cf,9- 7-2009,
AT,COL,N,1,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.267,.305,.478,1,cf,9- 8-2009,
AT,COL,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.258,.303,.462,1,cf,9- 9-2009,
AT,COL,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.247,.291,.443,1,cf,9-10-2009,
AT,CHI,N,1,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,.250,.306,.440,1,cf,9-11-2009,
AT,CHI,N,1,6,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.245,.298,.425,1,cf,9-12-2009,
AT,CHI,N,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.252,.303,.423,1,cf,9-13-2009,
VS,HOU,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,.246,.301,.412,1,cf,9-14-2009,
VS,HOU,N,1,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,.246,.299,.432,1,cf,9-15-2009,
VS,HOU,N,1,5,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,.252,.303,.455,1,cf,9-16-2009,
