at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,MON,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,9- 9-2000,
VS,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,lf,9-10-2000,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,6,"pr,rf",9-20-2000,
AT,NY,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,6,"rf,cf",9-28-2000,
AT,BOS,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000,7,dh,7- 1-2002,
AT,BOS,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,pr,7- 3-2002,
AT,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,ph,7- 4-2002,
AT,NY,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,8,ph,7- 5-2002,
AT,MIN,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,7-27-2002,
AT,KC,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,7,"ph,dh",7-30-2002,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,7,"ph,dh",8- 6-2002,
VS,SEA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,8,pr,8- 7-2002,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,9,ph,8- 8-2002,
AT,TEX,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,9,ph,8-16-2002,
AT,TEX,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.100,.182,.100,9,ph,8-17-2002,
VS,KC,A,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.083,.154,.083,8,"ph,rf",8-20-2002,
AT,BAL,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.154,.083,8,pr,8-24-2002,1
VS,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,6,lf,9-15-2003,
VS,NY,A,1,3,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,.250,.250,1.000,8,lf,9-16-2003,
VS,NY,A,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.333,1.000,8,lf,9-18-2003,
VS,TOR,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.222,.222,.667,8,dh,9-20-2003,
AT,BOS,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.300,.300,.700,3,lf,9-25-2003,
AT,NY,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.273,.636,6,"ph,lf",9-26-2003,1
AT,NY,A,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.273,.333,.636,9,ph,9-26-2003,2
AT,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.214,.267,.500,8,lf,9-27-2003,
