at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,5,cf,4-10-1962,
VS,MIN,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2,cf,4-11-1962,
VS,MIN,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,2,cf,4-12-1962,
AT,LA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,9,ph,4-19-1962,
AT,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,4,pr,4-24-1962,
AT,DET,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,9,pr,4-25-1962,
AT,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,7,pr,4-26-1962,
VS,BAL,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,7,pr,4-28-1962,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,9,ph,4-29-1962,
VS,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,8,pr,5- 1-1962,
VS,DET,A,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,9,ph,5- 2-1962,
VS,CLE,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.222,.444,9,ph,5- 4-1962,
VS,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,9,"ph,cf",5- 5-1962,1
VS,CLE,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.455,9,ph,5- 5-1962,2
AT,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.417,9,ph,5- 9-1962,
AT,BAL,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.214,.357,9,"ph,cf",5-10-1962,
AT,MIN,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.222,.333,2,cf,5-11-1962,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.182,.273,2,cf,5-12-1962,
AT,MIN,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.192,.192,.269,2,cf,5-13-1962,
AT,CLE,A,1,3,1,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,.241,.267,.345,2,cf,5-15-1962,
