at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,PHI,N,1,4,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,6,3b,,9- 9-1946,
VS,PIT,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.375,.375,.500,3,3b,,9-10-1946,
VS,PIT,N,1,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.500,.500,.583,7,3b,,9-11-1946,1
VS,PIT,N,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.462,.563,.538,7,3b,,9-11-1946,2
VS,CIN,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.353,.450,.412,7,3b,,9-12-1946,
VS,CIN,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.381,.458,.429,7,3b,,9-13-1946,
VS,CIN,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.375,.444,.417,7,3b,,9-14-1946,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.444,.417,8,3b,,9-15-1946,1
VS,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.360,.429,.400,9,ph,,9-15-1946,2
VS,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.346,.414,.385,9,ph,,9-17-1946,
VS,CHI,N,1,4,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,.367,.424,.533,6,3b,,9-18-1946,
VS,CHI,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.364,.417,.515,6,3b,,9-19-1946,
AT,PHI,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.351,.400,.486,6,3b,,9-22-1946,1
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.325,.372,.450,6,3b,,9-22-1946,2
VS,BOS,N,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.318,.362,.500,6,3b,,9-25-1946,
VS,BOS,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.298,.340,.468,6,3b,,9-26-1946,1
VS,BOS,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.333,.471,5,3b,,9-26-1946,2
VS,PHI,N,1,3,2,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,.315,.362,.537,6,3b,,9-28-1946,
AT,PHI,N,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.250,.250,1.000,8,2b,,4-15-1947,
AT,PHI,N,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.143,.250,.571,8,2b,,4-17-1947,
VS,BRO,N,1,4,3,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.455,.500,1.273,7,2b,,4-18-1947,
VS,BRO,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.375,.933,7,2b,,4-19-1947,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.278,.316,.778,7,2b,,4-20-1947,
AT,BOS,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.304,.682,7,2b,,4-23-1947,
AT,BOS,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.259,.577,7,2b,,4-24-1947,
AT,BRO,N,1,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.310,.333,.621,7,2b,,4-26-1947,
AT,BRO,N,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.353,.636,7,2b,,4-27-1947,
VS,STL,N,1,4,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,.351,.368,.676,3,cf,,4-29-1947,
VS,STL,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.326,.595,3,cf,,4-30-1947,
VS,STL,N,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.311,.340,.600,3,cf,,5- 1-1947,
VS,CIN,N,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,.286,.314,.551,3,cf,,5- 6-1947,
VS,CIN,N,1,4,3,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,.302,.327,.642,3,cf,,5- 8-1947,
VS,BOS,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.298,.322,.614,3,cf,,5- 9-1947,
VS,BOS,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.302,.574,3,cf,,5-10-1947,
VS,BOS,N,1,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.288,.309,.561,3,cf,,5-11-1947,1
VS,BOS,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.319,.557,3,cf,,5-11-1947,2
AT,STL,N,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.312,.533,3,cf,,5-13-1947,
