at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,3b,8-22-2019,
VS,ANA,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.250,.250,.250,7,3b,8-23-2019,
VS,ANA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.167,.167,8,3b,8-24-2019,
VS,ANA,A,1,3,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.200,.250,.200,6,3b,8-25-2019,
VS,TB,A,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.211,.286,.211,7,"3b,1b",8-27-2019,
VS,TB,A,1,2,2,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,.238,.385,.381,7,3b,8-29-2019,
AT,TOR,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.200,.333,.320,6,3b,8-31-2019,
AT,TOR,A,1,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,.207,.324,.414,6,3b,9- 1-2019,
AT,MIL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.212,.316,.394,7,3b,9- 2-2019,
AT,MIL,N,1,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.317,.444,6,3b,9- 3-2019,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.310,.432,8,"ph,3b",9- 5-2019,
VS,SEA,A,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.205,.326,.410,7,3b,9- 6-2019,
VS,SEA,A,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.214,.327,.405,7,3b,9- 7-2019,
VS,SEA,A,1,5,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.234,.345,.447,7,3b,9- 8-2019,
VS,OAK,A,1,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.356,.490,7,3b,9- 9-2019,
VS,OAK,A,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.255,.349,.473,7,3b,9-10-2019,
VS,OAK,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.344,.464,9,ph,9-11-2019,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.237,.328,.441,7,3b,9-12-2019,
AT,KC,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.226,.314,.419,8,3b,9-14-2019,
AT,KC,A,1,5,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,.239,.320,.433,8,3b,9-15-2019,
VS,ANA,A,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.239,.316,.433,9,"ph,3b",9-21-2019,
VS,ANA,A,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.235,.321,.426,6,3b,9-22-2019,
AT,SEA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.305,.403,8,3b,9-25-2019,
AT,ANA,A,1,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,.208,.295,.377,7,3b,9-26-2019,
AT,ANA,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.218,.303,.385,1,"pr,3b",9-29-2019,
VS,SEA,A,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,8,"ph,dh",7-24-2020,
VS,SEA,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.500,.667,7,"ph,dh",7-26-2020,
VS,LA,N,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.333,.400,8,"ph,dh",7-28-2020,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.333,7,ph,7-29-2020,
AT,ANA,A,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.091,.167,.182,8,dh,8- 1-2020,
AT,ANA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.154,.167,9,ph,8- 2-2020,
AT,ARI,N,1,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.067,.222,.133,7,dh,8- 4-2020,
AT,ARI,N,1,4,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.158,.273,.368,6,dh,8- 5-2020,
AT,OAK,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.150,.261,.350,1,ph,8- 7-2020,
VS,SF,N,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.174,.296,.348,7,2b,8-12-2020,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.286,.333,4,3b,8-14-2020,
VS,SEA,A,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.148,.258,.296,8,dh,8-16-2020,
