at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,PIT,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,9,ph,9-25-1960,
AT,PIT,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,9,ph,10- 1-1960,
AT,CIN,N,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,.250,.250,1.000,6,c,5-21-1961,1
AT,CIN,N,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.375,.375,.875,6,c,5-21-1961,2
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.273,.636,5,c,5-22-1961,
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.214,.500,5,c,5-23-1961,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.167,.167,.389,5,c,5-24-1961,
VS,LA,N,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.174,.174,.348,5,c,5-26-1961,
VS,LA,N,1,5,3,3,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,.250,.250,.536,5,c,5-27-1961,
VS,LA,N,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.212,.212,.455,5,c,5-28-1961,
AT,PHI,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.243,.459,6,c,5-30-1961,1
AT,PHI,N,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.282,.282,.487,7,"ph,c",5-30-1961,2
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.256,.256,.442,6,c,5-31-1961,
AT,PIT,N,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.283,.283,.457,6,c,6- 1-1961,
VS,STL,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.286,.300,.449,6,c,6- 2-1961,
VS,STL,N,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,.269,.309,.423,7,c,6- 3-1961,
VS,STL,N,1,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.255,.305,.400,7,c,6- 4-1961,
AT,CIN,N,1,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.293,.349,.431,7,c,6- 5-1961,
AT,CIN,N,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.373,.433,7,c,6- 6-1961,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.281,.352,.406,7,c,6- 7-1961,
AT,CIN,N,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.279,.355,.397,7,c,6- 8-1961,
AT,CHI,N,1,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.292,.363,.444,7,c,6- 9-1961,
AT,CHI,N,1,5,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.325,.388,.468,7,c,6-10-1961,
AT,CHI,N,1,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.325,.393,.463,7,c,6-11-1961,1
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.376,.440,7,c,6-11-1961,2
AT,SF,N,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.310,.375,.471,7,c,6-14-1961,
AT,SF,N,1,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.319,.380,.505,7,c,6-15-1961,
AT,LA,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.309,.375,.489,7,c,6-16-1961,
AT,LA,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.299,.364,.474,7,c,6-17-1961,
AT,LA,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.348,.451,7,c,6-18-1961,
VS,SF,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.286,.348,.448,7,c,6-20-1961,
VS,SF,N,1,3,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,.287,.353,.472,7,c,6-21-1961,
VS,SF,N,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.295,.358,.491,7,c,6-22-1961,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.284,.346,.474,7,c,6-23-1961,
VS,CHI,N,1,4,2,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,.292,.356,.500,7,c,6-24-1961,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.282,.346,.484,7,c,6-25-1961,
AT,STL,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.336,.469,7,c,6-26-1961,
AT,STL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.333,.462,7,c,6-27-1961,
AT,STL,N,1,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,.272,.331,.463,7,c,6-28-1961,
VS,CIN,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.329,.457,7,c,6-30-1961,
VS,CIN,N,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.278,.333,.465,7,c,7- 1-1961,
VS,CIN,N,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.335,.477,6,c,7- 2-1961,1
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.333,.473,8,"ph,c",7- 2-1961,2
VS,LA,N,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.331,.474,6,c,7- 3-1961,
VS,LA,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.329,.475,7,c,7- 4-1961,
VS,PHI,N,1,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.276,.326,.485,7,c,7- 5-1961,1
