at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,PHI,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,2,pr,,7- 8-1939,1
AT,PHI,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,2,1b,,7- 8-1939,2
AT,PHI,A,1,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.400,.400,2,1b,,7- 9-1939,1
AT,PHI,A,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.357,.400,.357,2,1b,,7- 9-1939,2
AT,STL,A,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.400,.389,2,1b,,7-13-1939,
AT,STL,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.273,.333,.318,2,1b,,7-14-1939,
AT,STL,A,1,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.222,.276,.259,2,1b,,7-15-1939,
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.242,.226,7,1b,,7-16-1939,1
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.171,.216,.200,7,1b,,7-16-1939,2
AT,DET,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.175,.214,.200,7,1b,,7-18-1939,
AT,DET,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.159,.196,.182,7,1b,,7-19-1939,
AT,DET,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,.167,.200,.188,7,1b,,7-20-1939,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.154,.185,.173,7,1b,,7-21-1939,
AT,CLE,A,1,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.158,.186,.228,7,1b,,7-22-1939,
AT,CLE,A,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.150,.190,.217,7,1b,,7-23-1939,1
AT,CLE,A,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.161,.200,.226,7,1b,,7-23-1939,2
VS,DET,A,1,2,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.172,.232,.250,7,1b,,7-25-1939,
VS,DET,A,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.182,.239,.258,7,1b,,7-26-1939,
VS,DET,A,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.188,.243,.290,7,1b,,7-27-1939,
VS,CLE,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.181,.244,.278,7,1b,Date,7-28-1939,
