at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,MIN,A,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,8,ph,9-21-1962,
VS,MIN,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,8,ph,9-23-1962,
VS,KC,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.250,.500,.250,2,rf,9-24-1962,
VS,KC,A,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.444,.429,5,rf,9-26-1962,1
VS,KC,A,1,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.333,.538,.556,5,rf,9-26-1962,2
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.231,.412,.385,2,lf,9-28-1962,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.176,.333,.294,7,lf,9-29-1962,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.280,.238,6,rf,9-30-1962,
AT,DET,A,1,4,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,.250,.400,1.000,5,3b,4- 9-1963,
AT,DET,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.333,.625,7,3b,4-10-1963,
AT,LA,A,1,4,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,.333,.385,.917,7,3b,4-11-1963,
AT,LA,A,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.250,.368,.688,3,3b,4-13-1963,
VS,KC,A,1,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.250,.375,.650,3,3b,4-16-1963,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.217,.333,.565,5,3b,4-18-1963,
VS,MIN,A,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.222,.323,.519,3,3b,4-19-1963,
VS,MIN,A,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.200,.314,.467,7,3b,4-20-1963,
VS,MIN,A,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.188,.333,.438,7,3b,4-21-1963,1
VS,MIN,A,1,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,.250,.372,.472,6,3b,4-21-1963,2
AT,NY,A,1,4,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.250,.388,.450,3,3b,4-24-1963,
AT,BOS,A,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,.233,.389,.419,3,3b,4-27-1963,
AT,BOS,A,1,6,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.245,.383,.429,5,3b,4-28-1963,1
AT,BOS,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.359,.396,5,3b,4-28-1963,2
VS,BAL,A,1,4,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,.228,.353,.386,7,3b,5- 1-1963,1
VS,BAL,A,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.230,.347,.377,5,3b,5- 1-1963,2
VS,BAL,A,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.242,.351,.379,7,3b,5- 2-1963,
VS,WAS,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.229,.333,.357,7,3b,5- 3-1963,
VS,WAS,A,1,3,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,.247,.353,.384,5,3b,5- 4-1963,
VS,WAS,A,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.273,.371,.403,5,3b,5- 5-1963,1
VS,WAS,A,1,4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.284,.383,.432,6,3b,5- 5-1963,2
AT,KC,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.271,.367,.412,7,3b,5- 6-1963,
AT,KC,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.261,.363,.398,5,3b,5- 7-1963,
AT,KC,A,1,4,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.261,.358,.402,5,3b,5- 8-1963,
VS,NY,A,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.358,.411,5,3b,5- 9-1963,
VS,LA,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.263,.354,.404,4,3b,5-10-1963,
VS,LA,A,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.255,.350,.392,7,3b,5-11-1963,
VS,LA,A,1,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.262,.352,.393,5,3b,5-12-1963,1
VS,LA,A,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.259,.352,.384,5,3b,5-12-1963,2
VS,LA,A,1,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.267,.356,.414,5,3b,5-13-1963,
VS,DET,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.261,.348,.403,3,3b,5-14-1963,
VS,DET,A,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.258,.343,.395,3,3b,5-15-1963,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.333,.383,3,3b,5-16-1963,
AT,BAL,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.324,.371,5,3b,5-18-1963,
AT,BAL,A,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.243,.322,.390,5,3b,5-19-1963,1
AT,BAL,A,1,5,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.248,.325,.404,6,3b,5-19-1963,2
AT,WAS,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.248,.323,.400,3,3b,5-20-1963,
AT,WAS,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.243,.321,.392,6,3b,5-21-1963,
AT,WAS,A,1,5,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.248,.324,.412,3,3b,5-22-1963,
AT,MIN,A,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.331,.418,6,3b,5-24-1963,
AT,MIN,A,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.259,.330,.420,3,3b,5-25-1963,
AT,MIN,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.328,.416,3,3b,5-26-1963,
VS,CLE,A,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.332,.424,5,3b,5-28-1963,
VS,CLE,A,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,.266,.335,.422,5,3b,5-30-1963,1
VS,CLE,A,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.267,.338,.420,3,3b,5-30-1963,2
VS,BOS,A,1,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,.275,.348,.433,3,3b,5-31-1963,
