at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,TOR,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,c,9- 1-1989,
AT,TOR,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,5,"ph,c",9- 3-1989,
AT,KC,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,c,9-11-1989,
VS,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,5,c,9-16-1989,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,4,c,9-17-1989,
VS,CAL,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.167,.167,8,c,9-18-1989,
VS,CAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,4,c,9-19-1989,
VS,CAL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,c,9-20-1989,
VS,OAK,A,1,3,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.308,.357,.385,9,c,9-23-1989,
VS,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.357,.385,7,c,9-24-1989,
AT,CHI,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.400,.429,6,c,9-25-1989,
AT,CHI,A,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.353,.421,.471,9,c,9-26-1989,
AT,CHI,A,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.300,.391,.400,9,c,9-27-1989,
AT,SEA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.391,.400,9,c,9-30-1989,
AT,DET,A,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.667,.750,1.000,8,c,9-29-1990,
VS,SEA,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.429,.500,8,c,10- 2-1990,
AT,KC,A,1,2,1,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,.500,.750,2.000,9,c,6- 2-1991,
VS,BAL,A,1,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.333,.500,1.333,8,c,6- 5-1991,
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.200,.333,.800,7,c,6- 8-1991,
VS,NY,A,1,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.286,.375,.714,8,c,6-13-1991,
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.353,.667,5,c,6-15-1991,
VS,BAL,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.389,.688,5,c,9- 1-1991,
VS,NY,A,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333,.400,.667,8,"ph,c",9- 8-1991,
AT,KC,A,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.368,.429,.842,5,c,9- 9-1991,
AT,TEX,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.455,.850,9,c,9-13-1991,
AT,TEX,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.381,.435,.810,8,ph,9-15-1991,
VS,KC,A,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.409,.458,.864,6,c,9-16-1991,
VS,KC,A,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.391,.462,.826,9,c,9-18-1991,
AT,TOR,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.391,.462,.826,1,c,9-29-1991,
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.333,.400,.704,7,c,9-30-1991,
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.400,.704,7,c,10- 3-1991,1
AT,CHI,A,1,3,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.333,.444,.667,6,c,10- 3-1991,2
VS,TOR,A,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.303,.400,.606,7,c,10- 4-1991,
VS,TOR,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.390,.588,8,c,10- 5-1991,
AT,MIL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,8,c,4- 9-1992,
VS,MIL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,5,c,4-14-1992,
AT,CHI,A,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.333,.500,.500,8,c,4-19-1992,
AT,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.444,.429,5,c,4-22-1992,
VS,OAK,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.182,.308,.273,8,c,4-24-1992,
VS,BAL,A,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.200,.294,.333,7,c,4-29-1992,
AT,NY,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.158,.238,.263,8,c,5- 3-1992,
VS,CLE,A,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.136,.240,.227,8,c,5- 8-1992,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.136,.240,.227,7,c,5-10-1992,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.120,.214,.200,8,c,5-15-1992,
AT,TOR,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.120,.214,.200,7,c,5-18-1992,
AT,TOR,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.138,.219,.207,8,c,5-20-1992,
AT,DET,A,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.161,.235,.226,5,"ph,c",5-24-1992,
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.161,.235,.226,5,c,5-26-1992,
VS,NY,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.263,.257,8,c,5-27-1992,
VS,DET,A,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.282,.333,5,c,5-29-1992,
VS,DET,A,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,.216,.275,.324,8,"ph,c",5-30-1992,
VS,DET,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.256,.300,8,c,5-31-1992,
VS,TOR,A,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.178,.229,.267,8,c,6- 2-1992,
AT,TEX,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.178,.229,.267,5,c,6- 5-1992,
AT,TEX,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.235,.271,8,c,6- 7-1992,
