at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,KC,A,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,2,"ph,2b",4-17-1959,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,2b,4-24-1959,
VS,BAL,A,0,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.800,8,"ph,2b",5- 6-1959,
AT,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.667,8,2b,5- 9-1959,
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.667,8,2b,5-10-1959,2
AT,WAS,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.222,.300,.556,8,2b,5-19-1959,
AT,WAS,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.154,.214,.385,8,2b,5-20-1959,
VS,DET,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.176,.313,8,2b,5-22-1959,
VS,DET,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.158,.278,8,2b,5-23-1959,
VS,DET,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095,.136,.238,8,2b,5-24-1959,2
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095,.136,.238,5,pr,6- 7-1959,1
VS,NY,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095,.136,.238,9,pr,6- 7-1959,2
AT,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.130,.227,8,"ph,2b",6-10-1959,
AT,WAS,A,1,4,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,.154,.185,.462,8,2b,6-13-1959,
AT,WAS,A,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,.167,.219,.433,6,2b,6-14-1959,1
AT,WAS,A,1,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.171,.216,.429,6,2b,6-14-1959,2
AT,BOS,A,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.150,.190,.375,1,2b,6-15-1959,
AT,BOS,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.156,.191,.356,1,2b,6-16-1959,
AT,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.152,.188,.348,1,2b,6-20-1959,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.149,.184,.340,8,"ph,2b",6-23-1959,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.140,.173,.320,8,2b,6-24-1959,
AT,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.137,.170,.314,9,ph,7- 2-1959,
VS,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.137,.170,.314,4,pr,7-28-1959,2
AT,WAS,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.137,.170,.314,9,pr,8- 5-1959,1
AT,WAS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.135,.167,.308,2,2b,8- 5-1959,2
AT,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.132,.164,.302,9,ph,8-10-1959,
AT,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.130,.161,.296,9,ph,8-11-1959,
VS,CHI,A,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.127,.172,.291,9,"pr,2b",8-30-1959,2
VS,DET,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.127,.172,.291,8,pr,9- 7-1959,1
AT,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.127,.172,.291,5,pr,9- 9-1959,1
AT,WAS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.127,.172,.291,6,pr,9-11-1959,
AT,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.127,.172,.291,6,pr,9-13-1959,1
AT,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.121,.164,.276,1,3b,9-13-1959,2
AT,NY,A,1,4,1,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,.161,.212,.323,1,3b,9-14-1959,
AT,BOS,A,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,.172,.232,.328,1,3b,9-15-1959,
AT,BOS,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.164,.222,.313,1,3b,9-16-1959,
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.164,.222,.313,8,pr,9-22-1959,
VS,KC,A,0,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.186,.240,.329,9,"ph,2b",9-25-1959,2
VS,KC,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.197,.250,.338,9,2b,9-26-1959,
VS,KC,A,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.203,.253,.338,1,2b,9-27-1959,
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,1,pr,4-19-1960,
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,pr,4-21-1960,
AT,WAS,A,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-,.000,-,8,2b,4-22-1960,
AT,WAS,A,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,4,ph,4-24-1960,
AT,BAL,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,9,ph,4-28-1960,
VS,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,9,ph,5- 4-1960,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.200,.000,9,ph,5-15-1960,1
