at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,NY,N,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.800,.800,.800,2,cf,,4-23-1919,
VS,NY,N,1,4,2,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.778,.800,1.222,2,cf,,4-25-1919,
VS,BRO,N,1,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.714,.733,1.071,2,cf,,4-28-1919,
VS,BRO,N,1,4,2,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,.722,.737,1.056,2,cf,,4-29-1919,
VS,BRO,N,1,8,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,.538,.586,.769,2,cf,,4-30-1919,
AT,NY,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.517,.576,.724,2,cf,,5- 2-1919,
AT,NY,N,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.471,.526,.647,2,cf,,5- 3-1919,
AT,NY,N,1,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.500,.548,.737,2,cf,,5- 4-1919,
AT,BRO,N,1,5,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,.465,.511,.744,2,cf,,5- 6-1919,
AT,BRO,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.447,.490,.702,2,cf,,5- 8-1919,
VS,PIT,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.431,.473,.667,2,cf,,5-14-1919,
VS,PIT,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.407,.458,.630,2,cf,,5-15-1919,
VS,STL,N,1,4,2,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,.431,.476,.672,2,cf,,5-19-1919,
VS,STL,N,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.403,.456,.629,2,cf,,5-20-1919,
VS,STL,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.394,.444,.606,2,cf,,5-21-1919,
VS,CHI,N,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.382,.440,.588,2,cf,,5-23-1919,
VS,CHI,N,1,3,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,.380,.436,.592,2,cf,,5-24-1919,
VS,CIN,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.365,.427,.568,2,cf,,5-26-1919,
VS,CIN,N,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.355,.430,.553,2,cf,,5-27-1919,
VS,CIN,N,1,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.346,.418,.543,2,cf,Date,5-28-1919,
AT,BOS,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.341,.411,.529,2,cf,,5-29-1919,
AT,BOS,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.326,.394,.506,2,cf,,5-30-1919,1
AT,BOS,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.312,.379,.484,2,cf,,5-30-1919,2
AT,BOS,N,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.309,.380,.474,2,cf,,5-31-1919,
AT,BRO,N,1,7,3,3,0,0,1,2,1,0,0,0,1,0,0,0,0,0,.317,.388,.500,2,cf,,6- 1-1919,
AT,NY,N,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.327,.400,.505,2,cf,,6- 2-1919,1
AT,NY,N,1,4,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.333,.408,.532,2,cf,,6- 2-1919,2
AT,NY,N,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.328,.400,.517,2,cf,,6- 3-1919,
AT,NY,N,1,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.325,.396,.508,2,cf,,6- 4-1919,
AT,STL,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.323,.391,.508,2,cf,,6- 6-1919,
AT,STL,N,1,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.328,.399,.508,2,cf,,6- 7-1919,
