at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,6,ss,7-10-1963,
AT,PIT,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.429,.429,.429,6,ss,7-11-1963,
AT,PIT,N,1,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,.375,.455,.375,6,ss,7-12-1963,
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.400,.333,5,ss,7-13-1963,
AT,NY,N,1,3,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,.400,.474,.600,6,ss,7-14-1963,
AT,NY,N,1,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.389,.478,.611,6,ss,7-15-1963,1
AT,NY,N,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.391,.464,.565,6,ss,7-15-1963,2
AT,NY,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.346,.438,.500,6,ss,7-16-1963,
AT,PHI,N,1,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.355,.432,.516,6,ss,7-17-1963,
AT,PHI,N,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.353,.425,.559,6,ss,7-18-1963,
AT,STL,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.324,.409,.514,6,ss,7-19-1963,
AT,STL,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.317,.396,.488,5,ss,7-20-1963,
AT,STL,N,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.283,.358,.435,5,ss,7-21-1963,
VS,PHI,N,1,6,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,.308,.383,.442,5,cf,7-23-1963,
VS,PHI,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.304,.375,.429,5,cf,7-24-1963,
VS,PHI,N,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.288,.353,.407,5,cf,7-25-1963,
VS,NY,N,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.274,.347,.387,5,cf,7-26-1963,
VS,NY,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.342,.381,5,cf,7-27-1963,
VS,NY,N,1,5,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,.279,.346,.412,5,cf,7-28-1963,
VS,PIT,N,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.268,.341,.394,5,cf,7-30-1963,
VS,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.326,.373,6,cf,7-31-1963,
VS,LA,N,1,4,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.278,.344,.443,6,cf,8- 2-1963,
VS,LA,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.280,.344,.439,5,lf,8- 3-1963,
VS,LA,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.271,.340,.424,5,lf,8- 4-1963,
VS,SF,N,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.270,.337,.416,6,lf,8- 5-1963,
VS,SF,N,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.280,.343,.430,6,"lf,ss",8- 6-1963,
VS,SF,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.271,.333,.417,6,lf,8- 7-1963,
AT,PIT,N,1,7,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.272,.330,.417,5,"lf,ss",8- 9-1963,1
AT,PIT,N,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,.262,.325,.402,7,"lf,ss",8- 9-1963,2
AT,PIT,N,1,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.266,.339,.404,7,lf,8-10-1963,
