at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CHI,A,1,3,2,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,.667,.750,1.667,8,rf,8-29-2006,
AT,CHI,A,1,3,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,.667,.625,1.333,7,rf,8-30-2006,
AT,CHI,A,1,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.727,.692,1.182,2,rf,8-31-2006,
VS,SEA,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.533,.529,.867,2,rf,9- 1-2006,
VS,SEA,A,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.474,.476,.895,2,rf,9- 2-2006,
VS,SEA,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.435,.440,.783,2,"cf,rf",9- 3-2006,
VS,MIN,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.370,.379,.667,2,rf,9- 4-2006,
VS,MIN,A,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.387,.394,.677,2,rf,9- 5-2006,
VS,MIN,A,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.400,.405,.657,2,rf,9- 6-2006,
VS,OAK,A,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.385,.405,.615,2,rf,9- 8-2006,
VS,OAK,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.386,.404,.591,2,rf,9- 9-2006,
VS,OAK,A,1,5,2,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,.408,.423,.653,2,rf,9-10-2006,
AT,NY,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.396,.411,.623,2,rf,9-12-2006,
AT,NY,A,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.379,.393,.586,2,rf,9-13-2006,
AT,NY,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.371,.385,.565,2,rf,9-14-2006,
AT,TOR,A,1,5,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,.373,.386,.567,2,rf,9-15-2006,
AT,TOR,A,1,4,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.394,.405,.606,2,rf,9-16-2006,
AT,TOR,A,1,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.400,.410,.640,2,rf,9-17-2006,
VS,BAL,A,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.388,.398,.613,2,rf,9-18-2006,
VS,BAL,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.369,.379,.583,2,rf,9-19-2006,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.356,.374,.563,2,rf,9-20-2006,
VS,NY,A,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.363,.379,.571,2,rf,9-22-2006,
VS,NY,A,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.344,.360,.542,2,rf,9-23-2006,
VS,NY,A,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.327,.343,.515,2,rf,9-24-2006,
VS,NY,A,1,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.355,.524,2,rf,9-25-2006,
AT,BOS,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.321,.342,.505,2,rf,9-26-2006,
AT,BOS,A,1,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.316,.336,.491,2,rf,9-27-2006,
