at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,OAK,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,1,2b,5- 7-1977,
AT,OAK,A,1,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.667,.800,1.000,8,2b,5-16-1977,
VS,BAL,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.667,.833,1.000,1,2b,5-22-1977,2
AT,MIN,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.429,.600,.571,8,2b,6- 2-1977,
AT,CHI,A,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.364,.500,.727,8,2b,6- 5-1977,
AT,MIL,A,1,3,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,.357,.526,.643,7,2b,6- 9-1977,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.294,.455,.529,8,3b,6-14-1977,
AT,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.455,.529,9,ss,6-18-1977,
VS,BOS,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,.450,2,2b,6-25-1977,
VS,BOS,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.261,.414,.435,8,2b,6-26-1977,
AT,TOR,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.231,.394,.385,8,2b,6-27-1977,
AT,TOR,A,1,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,.233,.378,.467,8,2b,6-28-1977,1
AT,TOR,A,1,4,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.265,.390,.471,8,2b,6-28-1977,2
VS,DET,A,1,5,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.282,.391,.462,7,"2b,ss",7- 3-1977,2
AT,MIL,A,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.279,.380,.512,8,2b,7-14-1977,
AT,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.380,.512,6,3b,7-30-1977,
VS,CAL,A,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.283,.389,.522,9,2b,8-12-1977,2
VS,CAL,A,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.286,.386,.510,7,2b,8-13-1977,
VS,CAL,A,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.397,.520,8,2b,8-14-1977,
VS,TEX,A,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.302,.403,.509,8,2b,8-27-1977,
VS,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.397,.500,7,"ph,dh",8-30-1977,
AT,CLE,A,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.316,.409,.526,8,2b,9- 6-1977,
VS,TOR,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.403,.517,5,2b,9-10-1977,
VS,DET,A,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.311,.400,.508,8,2b,10- 1-1977,
VS,DET,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.323,.405,.508,8,2b,10- 2-1977,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,3,ph,5-31-1978,
AT,OAK,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,6- 3-1978,
VS,SEA,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,2b,6-14-1978,
