Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Apr 7, 2022",@ Atlanta,REG,W,6-3,155,O,8.5,CIN,2022,20220407,1,0.39215686274509803,0
"Apr 8, 2022",@ Atlanta,REG,L,7-6,170,O,9.0,CIN,2022,20220408,2,0.37037037037037035,0
"Apr 9, 2022",@ Atlanta,REG,L,2-1,155,U,9.5,CIN,2022,20220409,3,0.39215686274509803,0
"Apr 10, 2022",@ Atlanta,REG,W,6-3,157,P,9.0,CIN,2022,20220410,4,0.38910505836575876,0
"Apr 12, 2022",vs Cleveland,REG,L,10-5,-110,O,8.0,CIN,2022,20220412,5,0.5238095238095238,0
"Apr 13, 2022",vs Cleveland,REG,L,7-3,-127,O,9.0,CIN,2022,20220413,6,0.5594713656387665,0
"Apr 14, 2022",@ LA Dodgers,REG,L,9-3,245,O,8.5,CIN,2022,20220414,7,0.2898550724637681,0
"Apr 15, 2022",@ LA Dodgers,REG,L,3-1,248,U,9.0,CIN,2022,20220415,8,0.28735632183908044,0
"Apr 16, 2022",@ LA Dodgers,REG,L,5-2,190,U,8.5,CIN,2022,20220416,9,0.3448275862068966,0
"Apr 17, 2022",@ LA Dodgers,REG,L,9-1,188,O,8.5,CIN,2022,20220417,10,0.3472222222222222,0
"Apr 18, 2022",@ San Diego,REG,L,4-1,173,U,7.5,CIN,2022,20220418,11,0.3663003663003663,0
"Apr 19, 2022",@ San Diego,REG,L,6-2,190,O,7.5,CIN,2022,20220419,12,0.3448275862068966,0
"Apr 20, 2022",@ San Diego,REG,L,6-0,170,U,8.5,CIN,2022,20220420,13,0.37037037037037035,0
"Apr 22, 2022",vs St. Louis,REG,L,4-2,108,U,7.5,CIN,2022,20220422,14,0.4807692307692308,0
"Apr 23, 2022",vs St. Louis,REG,L,5-0,-115,U,8.5,CIN,2022,20220423,15,0.5348837209302326,0
"Apr 24, 2022",vs St. Louis,REG,W,4-1,135,U,8.5,CIN,2022,20220424,16,0.425531914893617,0
"Apr 26, 2022",vs San Diego,REG,L,9-6,145,O,8.0,CIN,2022,20220426,17,0.40816326530612246,0
"Apr 27, 2022",vs San Diego,REG,L,8-5,145,O,8.5,CIN,2022,20220427,18,0.40816326530612246,0
"Apr 28, 2022",vs San Diego,REG,L,7-5,-109,O,8.0,CIN,2022,20220428,19,0.5215311004784688,0
"Apr 29, 2022",@ Colorado,REG,L,10-4,103,O,10.0,CIN,2022,20220429,20,0.49261083743842365,0
"Apr 30, 2022",@ Colorado,REG,L,4-3,127,U,10.5,CIN,2022,20220430,21,0.44052863436123346,0
"May 1, 2022",@ Colorado,REG,L,10-1,138,O,10.5,CIN,2022,20220501,22,0.42016806722689076,0
"May 3, 2022",@ Milwaukee,REG,L,6-3,205,O,7.0,CIN,2022,20220503,23,0.32786885245901637,0
"May 4, 2022",@ Milwaukee,REG,L,18-4,255,O,8.0,CIN,2022,20220504,24,0.28169014084507044,0
"May 5, 2022",@ Milwaukee,REG,L,10-5,210,O,7.5,CIN,2022,20220505,25,0.3225806451612903,0
"May 7, 2022",vs Pittsburgh,REG,W,9-2,100,O,8.5,CIN,2022,20220507,26,0.5,1
"May 7, 2022",vs Pittsburgh,REG,L,8-5,115,O,9.0,CIN,2022,20220507,27,0.46511627906976744,2
"May 8, 2022",vs Pittsburgh,REG,W,7-3,-135,O,8.0,CIN,2022,20220508,28,0.574468085106383,0
"May 9, 2022",vs Milwaukee,REG,W,10-5,155,O,7.5,CIN,2022,20220509,29,0.39215686274509803,0
