Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Apr 1, 2021",vs San Francisco,REG,W,8-7,110,O,8.0,SEA,2021,20210401,1,0.47619047619047616,0
"Apr 2, 2021",vs San Francisco,REG,L,6-3,-115,O,8.5,SEA,2021,20210402,2,0.5348837209302326,0
"Apr 3, 2021",vs San Francisco,REG,W,4-0,107,U,9.0,SEA,2021,20210403,3,0.4830917874396135,0
"Apr 5, 2021",vs Chi White Sox,REG,L,6-0,113,U,8.0,SEA,2021,20210405,4,0.4694835680751174,0
"Apr 6, 2021",vs Chi White Sox,REG,L,10-4,140,O,7.5,SEA,2021,20210406,5,0.4166666666666667,0
"Apr 7, 2021",vs Chi White Sox,REG,W,8-4,133,O,8.0,SEA,2021,20210407,6,0.4291845493562232,0
"Apr 8, 2021",@ Minnesota,REG,L,10-2,195,O,8.0,SEA,2021,20210408,7,0.3389830508474576,0
"Apr 10, 2021",@ Minnesota,REG,W,4-3,170,U,8.0,SEA,2021,20210410,8,0.37037037037037035,0
"Apr 11, 2021",@ Minnesota,REG,W,8-6,165,O,8.5,SEA,2021,20210411,9,0.37735849056603776,0
"Apr 13, 2021",@ Baltimore,REG,W,4-3,130,O,6.5,SEA,2021,20210413,10,0.43478260869565216,1
"Apr 13, 2021",@ Baltimore,REG,L,7-6,117,O,7.0,SEA,2021,20210413,11,0.4608294930875576,2
"Apr 15, 2021",@ Baltimore,REG,W,4-2,-105,U,7.0,SEA,2021,20210415,12,0.5121951219512195,1
"Apr 15, 2021",@ Baltimore,REG,W,2-1,125,U,7.5,SEA,2021,20210415,13,0.4444444444444444,2
"Apr 16, 2021",vs Houston,REG,W,6-5,103,O,8.0,SEA,2021,20210416,14,0.49261083743842365,0
"Apr 17, 2021",vs Houston,REG,L,1-0,115,U,8.5,SEA,2021,20210417,15,0.46511627906976744,0
"Apr 18, 2021",vs Houston,REG,W,7-2,120,P,9.0,SEA,2021,20210418,16,0.45454545454545453,0
"Apr 19, 2021",vs LA Dodgers,REG,W,4-3,182,U,8.5,SEA,2021,20210419,17,0.3546099290780142,0
"Apr 20, 2021",vs LA Dodgers,REG,L,1-0,169,U,8.0,SEA,2021,20210420,18,0.37174721189591076,0
"Apr 22, 2021",@ Boston,REG,W,7-3,150,O,9.5,SEA,2021,20210422,19,0.4,0
"Apr 23, 2021",@ Boston,REG,L,6-5,134,O,9.0,SEA,2021,20210423,20,0.42735042735042733,0
"Apr 24, 2021",@ Boston,REG,W,8-2,170,O,9.0,SEA,2021,20210424,21,0.37037037037037035,0
"Apr 25, 2021",@ Boston,REG,L,5-3,170,U,8.5,SEA,2021,20210425,22,0.37037037037037035,0
"Apr 26, 2021",@ Houston,REG,L,5-2,158,U,9.0,SEA,2021,20210426,23,0.3875968992248062,0
"Apr 27, 2021",@ Houston,REG,L,2-0,170,U,8.5,SEA,2021,20210427,24,0.37037037037037035,0
"Apr 28, 2021",@ Houston,REG,L,7-5,188,O,8.5,SEA,2021,20210428,25,0.3472222222222222,0
"Apr 29, 2021",@ Houston,REG,W,1-0,145,U,9.0,SEA,2021,20210429,26,0.40816326530612246,0
"Apr 30, 2021",vs LA Angels,REG,W,7-4,138,O,8.0,SEA,2021,20210430,27,0.42016806722689076,0
"May 1, 2021",vs LA Angels,REG,L,10-5,109,O,8.5,SEA,2021,20210501,28,0.4784688995215311,0
"May 2, 2021",vs LA Angels,REG,W,2-0,145,U,8.0,SEA,2021,20210502,29,0.40816326530612246,0
"May 3, 2021",vs Baltimore,REG,L,5-3,-126,U,8.5,SEA,2021,20210503,30,0.5575221238938053,0
"May 4, 2021",vs Baltimore,REG,W,5-2,-123,U,8.5,SEA,2021,20210504,31,0.5515695067264574,0
"May 5, 2021",vs Baltimore,REG,L,6-0,-108,U,7.5,SEA,2021,20210505,32,0.5192307692307692,0
"May 7, 2021",@ Texas,REG,W,5-4,110,O,8.5,SEA,2021,20210507,33,0.47619047619047616,0
"May 8, 2021",@ Texas,REG,L,9-8,-105,O,9.5,SEA,2021,20210508,34,0.5121951219512195,0
"May 9, 2021",@ Texas,REG,L,10-2,125,O,8.0,SEA,2021,20210509,35,0.4444444444444444,0
"May 11, 2021",@ LA Dodgers,REG,L,6-4,200,O,7.0,SEA,2021,20210511,36,0.3333333333333333,0
